,DayOfYear,DayOfMonth,DayOfWeek,Year,Month,Hour,volume,temp,rain_1h,sun_1h,snow_1h,is_holiday
DayOfYear,1.0,0.0941395850563187,0.0012294892682123654,0.011761701899385012,0.9965227775480606,2.3223536751141723e-16,0.0029109408776310398,0.1723458618499721,0.0015355020379893907,-0.025523145325271435,-0.003783929485234664,-0.0017231146463065287
DayOfMonth,0.0941395850563187,1.0,0.00023374995216183142,0.00021028508509024168,0.011168773579484668,2.0273958330769865e-17,0.0004145689887421867,0.008790376013306749,-0.004538007657228789,0.014038191191164751,-0.007354924434726361,-0.06361808840663905
DayOfWeek,0.0012294892682123654,0.00023374995216183142,1.0,-0.000987919869384274,0.0012278218625450545,3.3250732319470733e-19,-0.007396610473666364,0.0014929825724210634,0.002456701511781378,0.001256914018022466,0.0046026200860976585,-0.03735115749629906
Year,0.011761701899385012,0.00021028508509024168,-0.000987919869384274,1.0,0.011867536030761842,3.2962307636649308e-15,0.006143126449654218,0.0336791021048197,0.012205083310021002,-0.01910374616923724,-0.02473863551259663,-0.00013162919379214793
Month,0.9965227775480606,0.011168773579484668,0.0012278218625450545,0.011867536030761842,1.0,2.3119939948079276e-16,0.002954876832778086,0.17493003452975886,0.0019901260781422024,-0.025757280471687276,-0.0032443807588034834,0.003794612695779704
Hour,2.3223536751141723e-16,2.0273958330769865e-17,3.3250732319470733e-19,3.2962307636649308e-15,2.3119939948079276e-16,1.0,0.2835406824019195,0.12329947868208052,0.02550942585541377,0.019702829087914334,0.007319096873817114,-2.7627227242110328e-17
volume,0.0029109408776310398,0.0004145689887421867,-0.007396610473666364,0.006143126449654218,0.002954876832778086,0.2835406824019195,1.0,0.19394973146981287,-0.008007449561796285,0.36571799778141173,0.004171144644762817,-0.027104446193438728
temp,0.1723458618499721,0.008790376013306749,0.0014929825724210634,0.0336791021048197,0.17493003452975886,0.12329947868208052,0.19394973146981287,1.0,-0.010003846247624721,0.4229426214328447,-0.0055825218231632875,-0.02212902189833719
rain_1h,0.0015355020379893907,-0.004538007657228789,0.002456701511781378,0.012205083310021002,0.0019901260781422024,0.02550942585541377,-0.008007449561796285,-0.010003846247624721,1.0,-0.10604406421477872,0.00695928309741248,-0.007415607623295468
sun_1h,-0.025523145325271435,0.014038191191164751,0.001256914018022466,-0.01910374616923724,-0.025757280471687276,0.019702829087914334,0.36571799778141173,0.4229426214328447,-0.10604406421477872,1.0,-0.0035822096876939984,0.0023785266899978754
snow_1h,-0.003783929485234664,-0.007354924434726361,0.0046026200860976585,-0.02473863551259663,-0.0032443807588034834,0.007319096873817114,0.004171144644762817,-0.0055825218231632875,0.00695928309741248,-0.0035822096876939984,1.0,-0.0032022663106966473
is_holiday,-0.0017231146463065287,-0.06361808840663905,-0.03735115749629906,-0.00013162919379214793,0.003794612695779704,-2.7627227242110328e-17,-0.027104446193438728,-0.02212902189833719,-0.007415607623295468,0.0023785266899978754,-0.0032022663106966473,1.0
