,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,is_holiday,temp,rain_1h,sun_1h,snow_1h
volume,1.0,0.006143126449654201,-0.21685336655610368,-0.7151918878879823,0.013225940483798958,-0.029421335931007323,-0.0244477683072866,-0.025510377269154668,-0.017803581621981746,-0.03132111892947707,-0.02959028239540837,-0.027104446193438728,0.19394973146981287,-0.008007449561796285,0.36571799778141173,0.004171144644762817
Year,0.006143126449654201,1.0,4.8712419771528233e-17,-4.527188545656053e-16,0.000982776783680339,0.0011853281497504105,-0.011710294782482655,-0.0031692830561186815,-0.010348214679404114,-0.00609247882382347,-0.00038067607160814393,-0.00013162919379214793,0.0336791021048197,0.012205083310021002,-0.01910374616923724,-0.02473863551259663
Hour_sin,-0.21685336655610368,4.8712419771528233e-17,1.0,-2.0265857159723364e-17,-2.567168711916135e-19,6.963264273861497e-20,6.682566835268287e-19,-6.745774907870074e-19,1.83884660234822e-19,-1.4668958208288488e-18,1.0470636446849335e-18,4.117103216533544e-19,-0.1560701658804899,-0.027993613361638744,0.031998841962549415,-0.005637830017643385
Hour_cos,-0.7151918878879823,-4.527188545656053e-16,-2.0265857159723364e-17,1.0,-3.813367115758938e-19,-9.514903397034952e-19,1.8422363266652847e-20,2.2027020107330965e-19,6.345709395943953e-19,-4.451960035934124e-19,7.116913041154611e-19,1.2273519735782357e-19,-0.17799385550914915,0.01975377359438034,-0.5089297924654682,0.00035444597809035377
DayOfWeek_sin,0.013225940483798958,0.000982776783680339,-2.567168711916135e-19,-3.813367115758938e-19,1.0,0.0004454859579782609,-0.0008329655559567144,-3.375256820017208e-05,-0.0009768421322036282,2.5818397514045907e-05,-0.7858056653737587,0.00438558091744846,-0.0037331828764272327,-0.00713969047594734,0.002278029020759724,-0.0025100814864493603
DayOfWeek_cos,-0.029421335931007323,0.0011853281497504105,6.963264273861497e-20,-9.514903397034952e-19,0.0004454859579782609,1.0,0.001206016224380557,-0.00044724278925914343,0.001358389796026331,9.364863639345143e-05,0.1787303653556423,-0.005734363758014731,-0.005273201845977916,-0.0006201396975158069,-0.01048279483625827,0.0028245835366880394
Month_sin,-0.0244477683072866,-0.011710294782482655,6.682566835268287e-19,1.8422363266652847e-20,-0.0008329655559567144,0.001206016224380557,1.0,0.004862161860649133,0.9550573457565987,0.2669545355043016,0.0007029545694827002,0.048796124703590085,-0.4457709095766224,-0.011356613129012233,-0.04506858184819012,-0.001421931028925111
Month_cos,-0.025510377269154668,-0.0031692830561186815,-6.745774907870074e-19,2.2027020107330965e-19,-3.375256820017208e-05,-0.00044724278925914343,0.004862161860649133,1.0,-0.25103197091996027,0.953036622784062,0.0006036541316884986,0.020548674613961898,-0.7093552900659289,-0.0308602652495614,-0.25079978509259965,-0.0011764811687317222
DayOfYear_sin,-0.017803581621981746,-0.010348214679404114,1.83884660234822e-19,6.345709395943953e-19,-0.0009768421322036282,0.001358389796026331,0.9550573457565987,-0.25103197091996027,1.0,0.011455232311293658,0.0008296101380684932,0.039566632952301575,-0.25006885279243257,-0.0032934243016208152,0.020545000347016087,-0.0014440213149705715
DayOfYear_cos,-0.03132111892947707,-0.00609247882382347,-1.4668958208288488e-18,-4.451960035934124e-19,2.5818397514045907e-05,9.364863639345143e-05,0.2669545355043016,0.953036622784062,0.011455232311293658,1.0,0.00028550899121304157,0.02584449187721593,-0.8102137106967152,-0.03212920879273785,-0.2586332438402834,-0.00028032977252454754
is_weekend,-0.02959028239540837,-0.00038067607160814393,1.0470636446849335e-18,7.116913041154611e-19,-0.7858056653737587,0.1787303653556423,0.0007029545694827002,0.0006036541316884986,0.0008296101380684932,0.00028550899121304157,1.0,-0.04159809273190874,-0.001215486853075696,0.0012738112261245292,-0.0036945506379776837,0.005836075564489632
is_holiday,-0.027104446193438728,-0.00013162919379214793,4.117103216533544e-19,1.2273519735782357e-19,0.00438558091744846,-0.005734363758014731,0.048796124703590085,0.020548674613961898,0.039566632952301575,0.02584449187721593,-0.04159809273190874,1.0,-0.022129021898337212,-0.007415607623295465,0.002378526689997874,-0.0032022663106966464
temp,0.19394973146981287,0.0336791021048197,-0.1560701658804899,-0.17799385550914915,-0.0037331828764272327,-0.005273201845977916,-0.4457709095766224,-0.7093552900659289,-0.25006885279243257,-0.8102137106967152,-0.001215486853075696,-0.022129021898337212,1.0,-0.010003846247624721,0.4229426214328447,-0.0055825218231632875
rain_1h,-0.008007449561796285,0.012205083310021002,-0.027993613361638744,0.01975377359438034,-0.00713969047594734,-0.0006201396975158069,-0.011356613129012233,-0.0308602652495614,-0.0032934243016208152,-0.03212920879273785,0.0012738112261245292,-0.007415607623295465,-0.010003846247624721,1.0,-0.10604406421477872,0.00695928309741248
sun_1h,0.36571799778141173,-0.01910374616923724,0.031998841962549415,-0.5089297924654682,0.002278029020759724,-0.01048279483625827,-0.04506858184819012,-0.25079978509259965,0.020545000347016087,-0.2586332438402834,-0.0036945506379776837,0.002378526689997874,0.4229426214328447,-0.10604406421477872,1.0,-0.0035822096876939984
snow_1h,0.004171144644762817,-0.02473863551259663,-0.005637830017643385,0.00035444597809035377,-0.0025100814864493603,0.0028245835366880394,-0.001421931028925111,-0.0011764811687317222,-0.0014440213149705715,-0.00028032977252454754,0.005836075564489632,-0.0032022663106966464,-0.0055825218231632875,0.00695928309741248,-0.0035822096876939984,1.0
