,DayOfYear,DayOfMonth,DayOfWeek,Year,Month,Hour,volume,temp,rain_1h,sun_1h,snow_1h,is_holiday
DayOfYear,1.0,0.09159775109458942,-0.0007851221637102837,0.046776717764393516,0.9969271272314106,-0.00011526224275540201,0.04403528600314046,0.14885742288453963,-0.004294756970178452,-0.01953640903125332,-0.012526114965911618,0.016368513142578738
DayOfMonth,0.09159775109458942,1.0,-0.004254024895301219,-0.008816493648851223,0.01357841903635985,0.0001897868009160994,0.004760724681879395,0.019653001626221654,-0.01317171681613084,0.013556282558386933,-0.004673344316228278,-0.0695061074626831
DayOfWeek,-0.0007851221637102837,-0.004254024895301219,1.0,-0.002139620258574959,-0.00044532592082626745,0.00022611575889509538,-0.009721596556091727,0.00509764801047574,0.002297431934029615,-0.004855714914159392,0.005266782824950066,-0.0436994960325925
Year,0.046776717764393516,-0.008816493648851223,-0.002139620258574959,1.0,0.04651499206897257,-4.748666465366829e-05,-0.00873646996341109,-0.2226608785850782,-0.0231434693885276,-0.07820101692237219,-0.1234429363220992,0.002760542384402457
Month,0.9969271272314106,0.01357841903635985,-0.00044532592082626745,0.04651499206897257,1.0,-0.00012921977615012472,0.044141348986022594,0.1507871228445429,-0.00324003274505218,-0.019489788233117752,-0.012164529272516671,0.022014098357910104
Hour,-0.00011526224275540201,0.0001897868009160994,0.00022611575889509538,-4.748666465366829e-05,-0.00012921977615012472,1.0,0.3765618138893822,0.11215901350057826,0.03158585722237944,-0.004299333051063881,-0.010879396186495987,-3.057368087315005e-05
volume,0.04403528600314046,0.004760724681879395,-0.009721596556091727,-0.00873646996341109,0.044141348986022594,0.3765618138893822,1.0,0.25903826233597976,-0.012646110464998226,0.3652248087398421,-0.005053678037528387,-0.03337757759875281
temp,0.14885742288453963,0.019653001626221654,0.00509764801047574,-0.2226608785850782,0.1507871228445429,0.11215901350057826,0.25903826233597976,1.0,-0.004919177523223011,0.4305462230745926,0.02153674172368952,-0.03236524279257652
rain_1h,-0.004294756970178452,-0.01317171681613084,0.002297431934029615,-0.0231434693885276,-0.00324003274505218,0.03158585722237944,-0.012646110464998226,-0.004919177523223011,1.0,-0.10211716796049775,0.01290033926443185,-0.016006419041177923
sun_1h,-0.01953640903125332,0.013556282558386933,-0.004855714914159392,-0.07820101692237219,-0.019489788233117752,-0.004299333051063881,0.3652248087398421,0.4305462230745926,-0.10211716796049775,1.0,0.025500254012449826,0.0021824524069562036
snow_1h,-0.012526114965911618,-0.004673344316228278,0.005266782824950066,-0.1234429363220992,-0.012164529272516671,-0.010879396186495987,-0.005053678037528387,0.02153674172368952,0.01290033926443185,0.025500254012449826,1.0,0.0007614686820647328
is_holiday,0.016368513142578738,-0.0695061074626831,-0.0436994960325925,0.002760542384402457,0.022014098357910104,-3.057368087315005e-05,-0.03337757759875281,-0.03236524279257652,-0.016006419041177923,0.0021824524069562036,0.0007614686820647328,1.0
