,DayOfYear,DayOfMonth,DayOfWeek,Year,Month,Hour,volume,temp,rain_1h,sun_1h,snow_1h,is_holiday
DayOfYear,1.0,0.0947564361451824,0.0019040299434261417,-0.13100421475048044,0.9963526986964126,-1.712407161589648e-16,0.026335480792154597,0.08707067771498041,0.01300820811870611,-0.05605780005432729,0.0067835048054476306,-0.0008015735168885197
DayOfMonth,0.0947564361451824,1.0,-0.0014389399448013782,-0.0019066756563948615,0.009747332620870389,-5.131171796394262e-17,0.020282217385023175,0.005668628976667331,0.006362648454694024,-0.01094829512153136,-0.0018946864074980516,-0.05606073854880266
DayOfWeek,0.0019040299434261417,-0.0014389399448013782,1.0,-0.0019137067841040938,0.002063543830342627,-6.5931982419725285e-18,0.004596698036239176,0.0018860889318837867,-0.006029427146937994,0.007512161732319411,0.004931730486727838,-0.038195662329358844
Year,-0.13100421475048044,-0.0019066756563948615,-0.0019137067841040938,1.0,-0.13281960242184768,-3.627695773718354e-15,0.030049880237155827,-0.05796040594666643,-0.0010636174559445258,-0.0311080257603888,0.004735134389274758,0.001846373635946926
Month,0.9963526986964126,0.009747332620870389,0.002063543830342627,-0.13281960242184768,1.0,-1.495383810282363e-16,0.025129909192574074,0.08955178283098365,0.012645974869829912,-0.05432748947977211,0.00695093346915512,0.00414347333160245
Hour,-1.712407161589648e-16,-5.131171796394262e-17,-6.5931982419725285e-18,-3.627695773718354e-15,-1.495383810282363e-16,1.0,0.31412471652545204,0.12984204592951734,0.020473918872411033,0.0367634873529915,0.00983876387751235,1.2883798609801054e-17
volume,0.026335480792154597,0.020282217385023175,0.004596698036239176,0.030049880237155827,0.025129909192574074,0.31412471652545204,1.0,0.298703691905225,-0.011896001863279814,0.46086486787044273,-0.00347051057338766,-0.040369602279385734
temp,0.08707067771498041,0.005668628976667331,0.0018860889318837867,-0.05796040594666643,0.08955178283098365,0.12984204592951734,0.298703691905225,1.0,-0.002915812632625082,0.4189850959547025,0.0030386033675787114,-0.018005864425117507
rain_1h,0.01300820811870611,0.006362648454694024,-0.006029427146937994,-0.0010636174559445258,0.012645974869829912,0.020473918872411033,-0.011896001863279814,-0.002915812632625082,1.0,-0.10396133356673258,0.004865852451763547,0.0025193671958137227
sun_1h,-0.05605780005432729,-0.01094829512153136,0.007512161732319411,-0.0311080257603888,-0.05432748947977211,0.0367634873529915,0.46086486787044273,0.4189850959547025,-0.10396133356673258,1.0,-0.006249040341313934,-0.005408582260286438
snow_1h,0.0067835048054476306,-0.0018946864074980516,0.004931730486727838,0.004735134389274758,0.00695093346915512,0.00983876387751235,-0.00347051057338766,0.0030386033675787114,0.004865852451763547,-0.006249040341313934,1.0,-0.003973237315498726
is_holiday,-0.0008015735168885197,-0.05606073854880266,-0.038195662329358844,0.001846373635946926,0.00414347333160245,1.2883798609801054e-17,-0.040369602279385734,-0.018005864425117507,0.0025193671958137227,-0.005408582260286438,-0.003973237315498726,1.0
