Datum,Jahr,Feiertag
2015-01-01,2015,Neujahrstag
2015-01-06,2015,Heilige Drei Könige
2015-03-19,2015,Josefstag
2015-04-03,2015,Karfreitag
2015-04-06,2015,Ostermontag
2015-05-14,2015,Auffahrt
2015-05-25,2015,Pfingstmontag
2015-06-04,2015,Fronleichnam
2015-08-01,2015,Nationalfeiertag
2015-08-15,2015,Mariä Himmelfahrt
2015-11-01,2015,Allerheiligen
2015-12-08,2015,Mariä Empfängnis
2015-12-25,2015,Weihnachten
2015-12-26,2015,Stephanstag
2016-01-01,2016,Neujahrstag
2016-01-06,2016,Heilige Drei Könige
2016-03-19,2016,Josefstag
2016-03-25,2016,Karfreitag
2016-03-28,2016,Ostermontag
2016-05-05,2016,Auffahrt
2016-05-16,2016,Pfingstmontag
2016-05-26,2016,Fronleichnam
2016-08-01,2016,Nationalfeiertag
2016-08-15,2016,Mariä Himmelfahrt
2016-11-01,2016,Allerheiligen
2016-12-08,2016,Mariä Empfängnis
2016-12-25,2016,Weihnachten
2016-12-26,2016,Stephanstag
2017-01-01,2017,Neujahrstag
2017-01-06,2017,Heilige Drei Könige
2017-03-19,2017,Josefstag
2017-04-14,2017,Karfreitag
2017-04-17,2017,Ostermontag
2017-05-25,2017,Auffahrt
2017-06-05,2017,Pfingstmontag
2017-06-15,2017,Fronleichnam
2017-08-01,2017,Nationalfeiertag
2017-08-15,2017,Mariä Himmelfahrt
2017-11-01,2017,Allerheiligen
2017-12-08,2017,Mariä Empfängnis
2017-12-25,2017,Weihnachten
2017-12-26,2017,Stephanstag
2018-01-01,2018,Neujahrstag
2018-01-06,2018,Heilige Drei Könige
2018-03-19,2018,Josefstag
2018-03-30,2018,Karfreitag
2018-04-02,2018,Ostermontag
2018-05-10,2018,Auffahrt
2018-05-21,2018,Pfingstmontag
2018-05-31,2018,Fronleichnam
2018-08-01,2018,Nationalfeiertag
2018-08-15,2018,Mariä Himmelfahrt
2018-11-01,2018,Allerheiligen
2018-12-08,2018,Mariä Empfängnis
2018-12-25,2018,Weihnachten
2018-12-26,2018,Stephanstag
2019-01-01,2019,Neujahrstag
2019-01-06,2019,Heilige Drei Könige
2019-03-19,2019,Josefstag
2019-04-19,2019,Karfreitag
2019-04-22,2019,Ostermontag
2019-05-30,2019,Auffahrt
2019-06-10,2019,Pfingstmontag
2019-06-20,2019,Fronleichnam
2019-08-01,2019,Nationalfeiertag
2019-08-15,2019,Mariä Himmelfahrt
2019-11-01,2019,Allerheiligen
2019-12-08,2019,Mariä Empfängnis
2019-12-25,2019,Weihnachten
2019-12-26,2019,Stephanstag
2020-01-01,2020,Neujahrstag
2020-01-06,2020,Heilige Drei Könige
2020-03-19,2020,Josefstag
2020-04-10,2020,Karfreitag
2020-04-13,2020,Ostermontag
2020-05-21,2020,Auffahrt
2020-06-01,2020,Pfingstmontag
2020-06-11,2020,Fronleichnam
2020-08-01,2020,Nationalfeiertag
2020-08-15,2020,Mariä Himmelfahrt
2020-11-01,2020,Allerheiligen
2020-12-08,2020,Mariä Empfängnis
2020-12-25,2020,Weihnachten
2020-12-26,2020,Stephanstag
2021-01-01,2021,Neujahrstag
2021-01-06,2021,Heilige Drei Könige
2021-03-19,2021,Josefstag
2021-04-02,2021,Karfreitag
2021-04-05,2021,Ostermontag
2021-05-13,2021,Auffahrt
2021-05-24,2021,Pfingstmontag
2021-06-03,2021,Fronleichnam
2021-08-01,2021,Nationalfeiertag
2021-08-15,2021,Mariä Himmelfahrt
2021-11-01,2021,Allerheiligen
2021-12-08,2021,Mariä Empfängnis
2021-12-25,2021,Weihnachten
2021-12-26,2021,Stephanstag
2022-01-01,2022,Neujahrstag
2022-01-06,2022,Heilige Drei Könige
2022-03-19,2022,Josefstag
2022-04-15,2022,Karfreitag
2022-04-18,2022,Ostermontag
2022-05-26,2022,Auffahrt
2022-06-06,2022,Pfingstmontag
2022-06-16,2022,Fronleichnam
2022-08-01,2022,Nationalfeiertag
2022-08-15,2022,Mariä Himmelfahrt
2022-11-01,2022,Allerheiligen
2022-12-08,2022,Mariä Empfängnis
2022-12-25,2022,Weihnachten
2022-12-26,2022,Stephanstag
2023-01-01,2023,Neujahrstag
2023-01-06,2023,Heilige Drei Könige
2023-03-19,2023,Josefstag
2023-04-07,2023,Karfreitag
2023-04-10,2023,Ostermontag
2023-05-18,2023,Auffahrt
2023-05-29,2023,Pfingstmontag
2023-06-08,2023,Fronleichnam
2023-08-01,2023,Nationalfeiertag
2023-08-15,2023,Mariä Himmelfahrt
2023-11-01,2023,Allerheiligen
2023-12-08,2023,Mariä Empfängnis
2023-12-25,2023,Weihnachten
2023-12-26,2023,Stephanstag
2024-01-01,2024,Neujahrstag
2024-01-06,2024,Heilige Drei Könige
2024-03-19,2024,Josefstag
2024-03-29,2024,Karfreitag
2024-04-01,2024,Ostermontag
2024-05-09,2024,Auffahrt
2024-05-20,2024,Pfingstmontag
2024-05-30,2024,Fronleichnam
2024-08-01,2024,Nationalfeiertag
2024-08-15,2024,Mariä Himmelfahrt
2024-11-01,2024,Allerheiligen
2024-12-08,2024,Mariä Empfängnis
2024-12-25,2024,Weihnachten
2024-12-26,2024,Stephanstag
2025-01-01,2025,Neujahrstag
2025-01-06,2025,Heilige Drei Könige
2025-03-19,2025,Josefstag
2025-04-18,2025,Karfreitag
2025-04-21,2025,Ostermontag
2025-05-29,2025,Auffahrt
2025-06-09,2025,Pfingstmontag
2025-06-19,2025,Fronleichnam
2025-08-01,2025,Nationalfeiertag
2025-08-15,2025,Mariä Himmelfahrt
2025-11-01,2025,Allerheiligen
2025-12-08,2025,Mariä Empfängnis
2025-12-25,2025,Weihnachten
2025-12-26,2025,Stephanstag
2026-01-01,2026,Neujahrstag
2026-01-06,2026,Heilige Drei Könige
2026-03-19,2026,Josefstag
2026-04-03,2026,Karfreitag
2026-04-06,2026,Ostermontag
2026-05-14,2026,Auffahrt
2026-05-25,2026,Pfingstmontag
2026-06-04,2026,Fronleichnam
2026-08-01,2026,Nationalfeiertag
2026-08-15,2026,Mariä Himmelfahrt
2026-11-01,2026,Allerheiligen
2026-12-08,2026,Mariä Empfängnis
2026-12-25,2026,Weihnachten
2026-12-26,2026,Stephanstag
