datetime,DayOfYear,DayOfMonth,DayOfWeek,Year,Month,Hour,volume,temp,rain_1h,sun_1h,snow_1h,weather_cat,is_holiday
2015-01-01 00:00:00,1,1,3,2015,1,0,52.0,-3.6,0.0,0.0,0.0,Night,1
2015-01-01 01:00:00,1,1,3,2015,1,1,64.0,-4.1,0.0,0.0,0.0,Night,1
2015-01-01 02:00:00,1,1,3,2015,1,2,36.0,-3.7,0.0,0.0,0.0,Night,1
2015-01-01 03:00:00,1,1,3,2015,1,3,22.0,-3.8,0.0,0.0,0.0,Night,1
2015-01-01 04:00:00,1,1,3,2015,1,4,19.0,-4.2,0.0,0.0,0.0,Night,1
2015-01-01 05:00:00,1,1,3,2015,1,5,10.0,-3.4,0.0,0.0,0.0,Night,1
2015-01-01 06:00:00,1,1,3,2015,1,6,20.0,-3.0,0.0,0.0,0.0,Night,1
2015-01-01 07:00:00,1,1,3,2015,1,7,38.0,-2.9,0.0,0.0,0.0,Cloudy,1
2015-01-01 08:00:00,1,1,3,2015,1,8,57.0,-2.9,0.0,11.0,1.0,Snow,1
2015-01-01 09:00:00,1,1,3,2015,1,9,81.0,-2.8,0.0,0.0,1.0,Snow,1
2015-01-01 10:00:00,1,1,3,2015,1,10,127.0,-2.4,0.0,0.0,0.0,Cloudy,1
2015-01-01 11:00:00,1,1,3,2015,1,11,222.0,-2.3,0.0,0.0,0.0,Cloudy,1
2015-01-01 12:00:00,1,1,3,2015,1,12,283.0,-2.3,0.0,0.0,0.0,Cloudy,1
2015-01-01 13:00:00,1,1,3,2015,1,13,353.0,-2.1,0.0,0.0,0.0,Cloudy,1
2015-01-01 14:00:00,1,1,3,2015,1,14,416.0,-2.0,0.0,0.0,0.0,Cloudy,1
2015-01-01 15:00:00,1,1,3,2015,1,15,515.0,-1.9,0.0,0.0,0.0,Cloudy,1
2015-01-01 16:00:00,1,1,3,2015,1,16,574.0,-1.8,0.0,0.0,0.0,Cloudy,1
2015-01-01 17:00:00,1,1,3,2015,1,17,492.0,-2.2,0.0,0.0,0.0,Cloudy,1
2015-01-01 18:00:00,1,1,3,2015,1,18,408.0,-2.0,0.0,0.0,0.0,Cloudy,1
2015-01-01 19:00:00,1,1,3,2015,1,19,309.0,-2.1,0.0,0.0,0.0,Cloudy,1
2015-01-01 20:00:00,1,1,3,2015,1,20,210.0,-2.2,0.0,0.0,0.0,Night,1
2015-01-01 21:00:00,1,1,3,2015,1,21,134.0,-2.8,0.0,0.0,0.0,Night,1
2015-01-01 22:00:00,1,1,3,2015,1,22,117.0,-3.4,0.0,0.0,0.0,Night,1
2015-01-01 23:00:00,1,1,3,2015,1,23,48.0,-2.6,0.0,0.0,0.0,Night,1
2015-01-02 00:00:00,2,2,4,2015,1,0,38.0,-3.7,0.0,0.0,2.0,Snow,0
2015-01-02 01:00:00,2,2,4,2015,1,1,30.0,-2.8,0.0,0.0,0.0,Night,0
2015-01-02 02:00:00,2,2,4,2015,1,2,21.0,-2.8,0.0,0.0,0.0,Night,0
2015-01-02 03:00:00,2,2,4,2015,1,3,27.0,-2.9,0.0,0.0,0.0,Night,0
2015-01-02 04:00:00,2,2,4,2015,1,4,34.0,-3.5,0.0,0.0,0.0,Night,0
2015-01-02 05:00:00,2,2,4,2015,1,5,44.0,-3.2,0.0,0.0,0.0,Night,0
2015-01-02 06:00:00,2,2,4,2015,1,6,102.0,-2.7,0.0,0.0,0.0,Night,0
2015-01-02 07:00:00,2,2,4,2015,1,7,118.0,-2.6,0.0,0.0,0.0,Cloudy,0
2015-01-02 08:00:00,2,2,4,2015,1,8,169.0,-2.4,0.0,5.0,0.0,Cloudy,0
2015-01-02 09:00:00,2,2,4,2015,1,9,257.0,-0.9,0.0,34.0,0.0,Clear,0
2015-01-02 10:00:00,2,2,4,2015,1,10,369.0,-1.5,0.0,0.0,0.0,Cloudy,0
2015-01-02 11:00:00,2,2,4,2015,1,11,444.0,0.1,0.0,0.0,0.0,Cloudy,0
2015-01-02 12:00:00,2,2,4,2015,1,12,530.0,0.5,0.0,0.0,1.0,Snow,0
2015-01-02 13:00:00,2,2,4,2015,1,13,553.0,0.3,0.2,0.0,0.0,Rain,0
2015-01-02 14:00:00,2,2,4,2015,1,14,709.0,1.3,0.5,0.0,0.0,Rain,0
2015-01-02 15:00:00,2,2,4,2015,1,15,710.0,1.2,1.1,0.0,0.0,Rain,0
2015-01-02 16:00:00,2,2,4,2015,1,16,702.0,1.2,0.7,0.0,0.0,Rain,0
2015-01-02 17:00:00,2,2,4,2015,1,17,745.0,2.1,0.1,0.0,0.0,Cloudy,0
2015-01-02 18:00:00,2,2,4,2015,1,18,611.0,1.9,0.0,0.0,0.0,Cloudy,0
2015-01-02 19:00:00,2,2,4,2015,1,19,495.0,2.3,0.0,0.0,0.0,Cloudy,0
2015-01-02 20:00:00,2,2,4,2015,1,20,471.0,2.1,0.0,0.0,0.0,Night,0
2015-01-02 21:00:00,2,2,4,2015,1,21,357.0,2.0,0.0,0.0,2.0,Snow,0
2015-01-02 22:00:00,2,2,4,2015,1,22,249.0,2.3,0.0,0.0,0.0,Night,0
2015-01-02 23:00:00,2,2,4,2015,1,23,147.0,2.3,0.0,0.0,0.0,Night,0
2015-01-03 00:00:00,3,3,5,2015,1,0,103.0,2.2,0.0,0.0,0.0,Night,0
2015-01-03 01:00:00,3,3,5,2015,1,1,70.0,2.4,0.0,0.0,1.0,Snow,0
2015-01-03 02:00:00,3,3,5,2015,1,2,53.0,2.2,0.0,0.0,0.0,Night,0
