filename,gap_start,gap_end,gap_hours
050_Brunnen_Mositunnel_R1_v5.csv,2016-08-31 23:00:00,2021-01-01 00:00:00,37992
050_Brunnen_Mositunnel_R2_v5.csv,2016-08-31 23:00:00,2021-01-01 00:00:00,37992
171_Sattel_R1_v5.csv,2016-08-31 23:00:00,2016-11-01 00:00:00,1464
171_Sattel_R1_v5.csv,2018-04-30 23:00:00,2018-06-01 00:00:00,744
171_Sattel_R1_v5.csv,2018-07-31 23:00:00,2019-10-01 00:00:00,10224
171_Sattel_R1_v5.csv,2020-04-30 23:00:00,2025-02-01 00:00:00,41688
171_Sattel_R1_v5.csv,2025-02-28 23:00:00,2025-11-01 00:00:00,5880
171_Sattel_R2_v5.csv,2016-08-31 23:00:00,2016-11-01 00:00:00,1464
171_Sattel_R2_v5.csv,2018-04-30 23:00:00,2018-06-01 00:00:00,744
171_Sattel_R2_v5.csv,2018-07-31 23:00:00,2019-10-01 00:00:00,10224
171_Sattel_R2_v5.csv,2020-04-30 23:00:00,2025-02-01 00:00:00,41688
171_Sattel_R2_v5.csv,2025-02-28 23:00:00,2025-11-01 00:00:00,5880
216_Wangen_SZ_R1_v5.csv,2015-05-31 23:00:00,2015-09-01 00:00:00,2208
216_Wangen_SZ_R1_v5.csv,2018-09-30 23:00:00,2018-12-01 00:00:00,1464
216_Wangen_SZ_R1_v5.csv,2019-01-31 23:00:00,2019-04-01 00:00:00,1416
216_Wangen_SZ_R1_v5.csv,2019-04-30 23:00:00,2019-11-01 00:00:00,4416
216_Wangen_SZ_R1_v5.csv,2020-06-30 23:00:00,2020-09-01 00:00:00,1488
216_Wangen_SZ_R2_v5.csv,2015-05-31 23:00:00,2015-09-01 00:00:00,2208
216_Wangen_SZ_R2_v5.csv,2018-09-30 23:00:00,2018-12-01 00:00:00,1464
216_Wangen_SZ_R2_v5.csv,2019-01-31 23:00:00,2019-04-01 00:00:00,1416
216_Wangen_SZ_R2_v5.csv,2019-04-30 23:00:00,2019-11-01 00:00:00,4416
216_Wangen_SZ_R2_v5.csv,2020-06-30 23:00:00,2020-09-01 00:00:00,1488
299_Wollerau_Blatttunnel_R1_v5.csv,2019-04-30 23:00:00,2020-02-01 00:00:00,6624
299_Wollerau_Blatttunnel_R1_v5.csv,2020-03-31 23:00:00,2020-05-01 00:00:00,720
299_Wollerau_Blatttunnel_R2_v5.csv,2019-04-30 23:00:00,2020-02-01 00:00:00,6624
299_Wollerau_Blatttunnel_R2_v5.csv,2020-03-31 23:00:00,2020-05-01 00:00:00,720
