,050_Brunnen_Mositunnel_R1_v8,050_Brunnen_Mositunnel_R2_v8,171_Sattel_R1_v8,171_Sattel_R2_v8,216_Wangen_SZ_R1_v8,216_Wangen_SZ_R2_v8,299_Wollerau_Blatttunnel_R1_v8,299_Wollerau_Blatttunnel_R2_v8,720_Schwyz_R1_v8,720_Schwyz_R2_v8,Mittelwert,Std
Jahr,0.0005091649733019565,0.0006397547238095047,,,3.132671362173767e-05,2.2609426109487796e-05,6.648475624881911e-06,2.220293202481738e-06,1.1510147279736316e-09,-1.3770480311592337e-09,0.0001514655474545934,0.0002636399767044335
Tageszeit,1.105341463754472,1.0448492935690425,1.0620293598776152,1.160334953221999,1.132316878440167,1.0255430996620518,1.2824272995898407,1.1204450015842529,1.1038706374532052,1.055820405483778,1.1092978392636426,0.0741922849898517
Wochentag,0.06090985676742076,0.012492753040810756,0.005994171604179766,0.0033044238959917815,0.04108995164646839,0.004463062676958174,0.0268191762447753,0.002767675711812345,0.03887332061881803,0.004358793414503503,0.020107318562173883,0.02064313627358745
Jahreszeit,0.04950746729894493,0.01735283734623827,0.007048574288470555,0.0022793714178350856,0.012566772537571002,0.0006406253872103029,0.00679588512294591,0.001944169204462276,0.032683491824781606,0.006775487645470879,0.01375946820739308,0.01576273543121795
Wochenende,0.01812965833600687,0.0016900766258558964,0.009012328094242184,0.003849085791030693,0.027086604076440812,5.459639900559088e-05,0.029663042969092314,0.0042337006388108445,0.029864922029957476,0.001958003359928928,0.012554201832037162,0.012377189317226527
Feiertage,0.0001620303419981206,0.002176082644403421,0.00042546985696132464,0.0006451247531017113,0.0022267635776240025,0.004406700358677573,0.0035890556388812776,0.0039737696340841015,0.0022163979142673985,0.0032128802778275344,0.0023034274997826465,0.0015123817325764317
Schulferien,-0.009002530915513817,-0.006449213173432444,0.0055660197876692295,0.00548430885648139,0.001361546360646837,0.0009089587471751038,0.004243651963227268,0.0031654525589715375,0.0016711564325958105,0.003066477766393427,0.0010015828384214343,0.004905429957679656
Temperatur,4.701849155306359e-05,0.011066822486611394,-0.00012818474853779627,0.002716468702259467,-7.291897443808537e-05,0.004368059800193958,0.0013849931139480408,1.2299116709857393e-06,-0.00015853166235010318,0.01899678437427852,0.0038221741495189448,0.006374329348779364
Regen,-8.169939950886106e-06,-0.00010217861665466899,7.665424399870835e-05,2.809653737301243e-06,0.00013935048725772782,1.53132497592412e-05,0.0004505553876459789,0.0004222398142635919,0.0008875272288662806,7.9858991332038e-05,0.00019639605002553132,0.000302893199498152
Sonne,0.005037623567843352,7.063020760569305e-05,-0.0011485037801601816,-0.0011398302932879023,0.0016299738561905142,-0.00036779201343699607,-0.0002176246201780474,0.0005446348085908492,-0.0007821941439952407,-0.0011511480289746578,0.0002475769560197383,0.0018991522414867684
Schnee,-7.409032544277716e-05,-4.613432403439699e-05,-1.2211174408971459e-05,-1.0603701870692816e-05,-1.136388911369135e-05,0.00027912525624628203,1.0851751196871984e-05,0.00019332756659097284,1.4943334458716872e-05,1.8485216911279245e-05,3.623297105335932e-05,0.00011098016999344689
Wetterkategorie,0.0067706883490795235,0.002631172196054199,0.007028789481888775,0.0064070288964212406,0.021071794395520604,0.0068082072683054995,0.02014803839731143,0.004628038291746827,0.03444192898283308,0.009797142915276391,0.011973282917443756,0.010053131224758958
