,050_Brunnen_Mositunnel_R1_v8,050_Brunnen_Mositunnel_R2_v8,171_Sattel_R1_v8,171_Sattel_R2_v8,216_Wangen_SZ_R1_v8,216_Wangen_SZ_R2_v8,299_Wollerau_Blatttunnel_R1_v8,299_Wollerau_Blatttunnel_R2_v8,720_Schwyz_R1_v8,720_Schwyz_R2_v8,Mittelwert,Std
Jahr,-0.0008623456718592992,-1.536538749475902e-05,,,-1.291224458555007e-06,0.00033418875173658603,-6.579906674574199e-05,9.631266911086511e-05,0.0,0.0,-6.4287491213863e-05,0.00034560558385834646
Tageszeit,1.4023324290211734,1.4501506104418436,1.7450323028985053,1.811832789368551,1.5797398856333078,1.6376881531802774,1.7585617194065288,1.8731811516588148,1.5633568593411022,1.5467566860582034,1.6368632587008307,0.15621353232277133
Wochentag,0.07501725898934268,0.05727028312458628,0.02879575626126375,0.02292017885718568,0.06880603065502479,0.053801547791545015,0.058150512188297865,0.037379827102715854,0.04152959075402977,0.027529685727825604,0.04712006714518173,0.018102172432580804
Jahreszeit,0.05387714939518108,0.016918966082489505,0.0008939775454310572,0.0037016711358217047,0.009134368507133195,0.0035458080855848783,0.0023145157501683446,0.005802044106662319,0.010365156499933192,0.00600676469271878,0.011256042180112407,0.015688152582318798
Wochenende,0.07861292746429951,0.1744639941836015,0.1560091246457171,0.13919889410208577,0.1317102715820151,0.23140022450406023,0.14769053645993466,0.2819130653595864,0.10624824726247488,0.13894384970664983,0.1586191135270425,0.0591681585732779
Feiertage,0.011280448302970047,0.02274544732390348,0.02089618566723117,0.01682570607800684,0.019281600444301605,0.03379553984310905,0.020326498455008425,0.033803522172574964,0.01747350272871969,0.027225043207313292,0.022365349422313857,0.007292003652907252
Schulferien,0.020212368072975717,0.02686335930334326,0.04689976880873742,0.042989003285715144,0.02013807964155524,0.02139606573373486,0.017622239284035855,0.025459850914641723,0.012869204224631536,0.01696154310699107,0.025141148237636184,0.01121725276021698
Temperatur,0.0030034497752478018,0.03047022661314521,0.009422334381504683,0.025989796659716048,0.00482993514884954,0.013542009829329594,0.0016524084967299735,0.006789036262325321,0.005951630840903821,0.03956651056866932,0.014121733857642132,0.013182219100727961
Regen,0.0005680637763264884,0.000997315665591414,0.00027065319816457214,0.0008571942065766947,0.0006472501163331645,0.0005831557003461608,0.00017019228423846843,7.330480867674405e-05,0.0002446792593641778,0.00025207907754182246,0.0004663888093159708,0.00031036518482235366
Sonne,0.013139197502282207,0.004754203383988176,0.005726158625440658,0.0035243438546607277,0.004819302650344204,0.0030842376097990343,0.0021917828502786784,0.0009825555179750812,0.011061958001120132,0.011283522123374568,0.0060567262119263455,0.004240071309315993
Schnee,0.00010361660433264586,5.811123719885458e-05,1.4976166819014037e-05,1.106528864815992e-05,0.000170103398000232,9.679091459251499e-05,-0.0003700066760057408,-0.0007585467616362029,0.00013269416654476673,-0.0001610115110435517,-7.022071725493073e-05,0.00029045649454488115
Wetterkategorie,0.0017997439270784788,0.002686675881965428,0.0005789827368504197,0.0014335886345788196,0.003828205647686245,0.003361306022730215,0.0017933009302348647,0.000652372441805471,0.0019222364224423805,0.0020877320455261472,0.002014414469089847,0.0010497470062447458
