,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,Feiertagsanteil,Schulferienanteil,temp,rain_1h,sun_1h,snow_1h
volume,1.0,0.03565174879597359,-0.21051109785867825,-0.7762986125873153,-0.053481013547853964,-0.1372050781399569,-0.10233341573370826,-0.13912692911039506,-0.06200321716522774,-0.1628400056389657,-0.015777007277341562,-0.004340520953129645,0.0574219463981059,0.3294485455400541,-0.013886621214133634,0.46823073546242444,-0.003529564163113438
Year,0.03565174879597359,1.0,3.899108252512142e-05,6.753572038686581e-05,0.0004556049899283106,0.0010111281016807465,-0.060331330128073145,0.0625926894839482,-0.07357635662706256,0.04456518727183773,-1.8989693939772592e-06,-0.0021809897154758608,-0.02581564464141768,0.010180629462832559,0.003747100344932889,-0.02978395348015389,-0.04862599074335765
Hour_sin,-0.21051109785867825,3.899108252512142e-05,1.0,-3.0376197962754257e-05,2.7448164647615497e-05,-2.1848778121900164e-05,-3.483676932771989e-05,-1.7492510636106466e-06,-3.413943538697559e-05,-3.8225572744981835e-06,-3.92508830208791e-05,4.948851491477564e-06,-4.809368031972675e-08,-0.1615969768261657,-0.028669720016635366,0.027048551791930463,-0.0013647859241005939
Hour_cos,-0.7762986125873153,6.753572038686581e-05,-3.0376197962754257e-05,1.0,4.754244952238007e-05,-3.7843857479063296e-05,-6.0340112665045236e-05,-3.0298448534286353e-06,-5.913227366729438e-05,-6.62097953004292e-06,-6.798571593715581e-05,8.571812550958421e-06,-8.330215875245516e-08,-0.18367402527325669,0.020626567260917394,-0.5100053098272566,0.0018807253901923858
DayOfWeek_sin,-0.053481013547853964,0.0004556049899283106,2.7448164647615497e-05,4.754244952238007e-05,1.0,0.000261044433376892,0.0008772273973934429,0.00015856829464931655,0.00023433635102782465,0.00023060103196990305,-0.7855830415461921,-0.011402598366004726,-0.04167448154007451,-0.007795193833591663,-0.0012896825048224689,-0.003362385669808724,-0.0016380721720232266
DayOfWeek_cos,-0.1372050781399569,0.0010111281016807465,-2.1848778121900164e-05,-3.7843857479063296e-05,0.000261044433376892,1.0,-7.445263902920797e-05,-0.0002783818581176909,-0.00037542607683932987,-0.00010605991629821524,0.17859941412661667,-0.016184235711997588,-0.0035067264184339823,-0.0042790469831442135,0.0011121233559239416,-0.0071707148022465035,0.0060525419031979355
Month_sin,-0.10233341573370826,-0.060331330128073145,-3.483676932771989e-05,-6.0340112665045236e-05,0.0008772273973934429,-7.445263902920797e-05,1.0,-0.00025533463025240844,0.9543069382188086,0.26048042582442626,-0.0009474156509712065,0.04845173816614398,-0.20209597737180932,-0.4541700679920623,-0.015254765111718352,-0.04336185895551627,-0.0037874042710518245
Month_cos,-0.13912692911039506,0.0625926894839482,-1.7492510636106466e-06,-3.0298448534286353e-06,0.00015856829464931655,-0.0002783818581176909,-0.00025533463025240844,1.0,-0.2579997226962215,0.9535674867698882,-0.0007131454267815996,-0.0034152102448576117,-0.16499881662161364,-0.6970590866170968,-0.04254216155393982,-0.2389661843508016,-0.009642687415492967
DayOfYear_sin,-0.06200321716522774,-0.07357635662706256,-3.413943538697559e-05,-5.913227366729438e-05,0.00023433635102782465,-0.00037542607683932987,0.9543069382188086,-0.2579997226962215,1.0,0.002821865071727857,-0.0006878091297895023,0.05047269123906046,-0.1410721179154634,-0.25806511483536065,-0.003444946182170645,0.020571071971301976,-0.00033440217528823177
DayOfYear_cos,-0.1628400056389657,0.04456518727183773,-3.8225572744981835e-06,-6.62097953004292e-06,0.00023060103196990305,-0.00010605991629821524,0.26048042582442626,0.9535674867698882,0.002821865071727857,1.0,-0.00045673392661012215,0.007024326267559133,-0.22170564236138487,-0.8020051907686307,-0.04514916053521144,-0.24464402109786718,-0.00860760079310873
is_weekend,-0.015777007277341562,-1.8989693939772592e-06,-3.92508830208791e-05,-6.798571593715581e-05,-0.7855830415461921,0.17859941412661667,-0.0009474156509712065,-0.0007131454267815996,-0.0006878091297895023,-0.00045673392661012215,1.0,-0.042907108993673,0.04050252209698914,0.0019479142792440869,-0.002744591649804697,-0.0021080995274987213,0.005537868297259831
Feiertagsanteil,-0.004340520953129645,-0.0021809897154758608,4.948851491477564e-06,8.571812550958421e-06,-0.011402598366004726,-0.016184235711997588,0.04845173816614398,-0.0034152102448576117,0.05047269123906046,0.007024326267559133,-0.042907108993673,1.0,0.1492885413034717,-0.014256139590529116,-0.00017819505521663738,-0.0056306739124717085,-0.0025264068347432764
Schulferienanteil,0.0574219463981059,-0.02581564464141768,-4.809368031972675e-08,-8.330215875245516e-08,-0.04167448154007451,-0.0035067264184339823,-0.20209597737180932,-0.16499881662161364,-0.1410721179154634,-0.22170564236138487,0.04050252209698914,0.1492885413034717,1.0,0.2476802379506484,0.004002564049182802,0.06408059282347084,-0.002802634554160213
temp,0.3294485455400541,0.010180629462832559,-0.1615969768261657,-0.18367402527325669,-0.007795193833591663,-0.0042790469831442135,-0.4541700679920623,-0.6970590866170968,-0.25806511483536065,-0.8020051907686307,0.0019479142792440869,-0.014256139590529116,0.2476802379506484,1.0,-0.004043233146033187,0.41664004794470416,-0.00022957819928598087
rain_1h,-0.013886621214133634,0.003747100344932889,-0.028669720016635366,0.020626567260917394,-0.0012896825048224689,0.0011121233559239416,-0.015254765111718352,-0.04254216155393982,-0.003444946182170645,-0.04514916053521144,-0.002744591649804697,-0.00017819505521663738,0.004002564049182802,-0.004043233146033187,1.0,-0.10597285357675058,0.003943264181521839
sun_1h,0.46823073546242444,-0.02978395348015389,0.027048551791930463,-0.5100053098272566,-0.003362385669808724,-0.0071707148022465035,-0.04336185895551627,-0.2389661843508016,0.020571071971301976,-0.24464402109786718,-0.0021080995274987213,-0.0056306739124717085,0.06408059282347084,0.41664004794470416,-0.10597285357675058,1.0,0.00036572182284598775
snow_1h,-0.003529564163113438,-0.04862599074335765,-0.0013647859241005939,0.0018807253901923858,-0.0016380721720232266,0.0060525419031979355,-0.0037874042710518245,-0.009642687415492967,-0.00033440217528823177,-0.00860760079310873,0.005537868297259831,-0.0025264068347432764,-0.002802634554160213,-0.00022957819928598087,0.003943264181521839,0.00036572182284598775,1.0
