,DayOfYear,DayOfMonth,DayOfWeek,Year,Month,Hour,volume,temp,rain_1h,sun_1h,snow_1h,is_holiday
DayOfYear,1.0,0.09159775109458942,-0.0007851221637102837,0.046776717764393516,0.9969271272314106,-0.00011526224275540201,0.0480735911594758,0.14885742288453963,-0.004294756970178452,-0.01953640903125332,-0.012526114965911618,0.016368513142578738
DayOfMonth,0.09159775109458942,1.0,-0.004254024895301219,-0.008816493648851223,0.01357841903635985,0.0001897868009160994,0.00725181051556117,0.019653001626221654,-0.01317171681613084,0.013556282558386933,-0.004673344316228278,-0.0695061074626831
DayOfWeek,-0.0007851221637102837,-0.004254024895301219,1.0,-0.002139620258574959,-0.00044532592082626745,0.00022611575889509538,-0.020417386582348495,0.00509764801047574,0.002297431934029615,-0.004855714914159392,0.005266782824950066,-0.0436994960325925
Year,0.046776717764393516,-0.008816493648851223,-0.002139620258574959,1.0,0.04651499206897257,-4.748666465366829e-05,-0.00984056748867907,-0.2226608785850782,-0.0231434693885276,-0.07820101692237219,-0.1234429363220992,0.002760542384402457
Month,0.9969271272314106,0.01357841903635985,-0.00044532592082626745,0.04651499206897257,1.0,-0.00012921977615012472,0.0479986304982125,0.1507871228445429,-0.00324003274505218,-0.019489788233117752,-0.012164529272516671,0.022014098357910104
Hour,-0.00011526224275540201,0.0001897868009160994,0.00022611575889509538,-4.748666465366829e-05,-0.00012921977615012472,1.0,0.28581898760091057,0.11215901350057826,0.03158585722237944,-0.004299333051063881,-0.010879396186495987,-3.057368087315005e-05
volume,0.0480735911594758,0.00725181051556117,-0.020417386582348495,-0.00984056748867907,0.0479986304982125,0.28581898760091057,1.0,0.23452285058268088,-0.017683736885602142,0.4119465556310395,0.0007966895890720571,-0.03592162482482506
temp,0.14885742288453963,0.019653001626221654,0.00509764801047574,-0.2226608785850782,0.1507871228445429,0.11215901350057826,0.23452285058268088,1.0,-0.004919177523223011,0.4305462230745926,0.02153674172368952,-0.03236524279257652
rain_1h,-0.004294756970178452,-0.01317171681613084,0.002297431934029615,-0.0231434693885276,-0.00324003274505218,0.03158585722237944,-0.017683736885602142,-0.004919177523223011,1.0,-0.10211716796049775,0.01290033926443185,-0.016006419041177923
sun_1h,-0.01953640903125332,0.013556282558386933,-0.004855714914159392,-0.07820101692237219,-0.019489788233117752,-0.004299333051063881,0.4119465556310395,0.4305462230745926,-0.10211716796049775,1.0,0.025500254012449826,0.0021824524069562036
snow_1h,-0.012526114965911618,-0.004673344316228278,0.005266782824950066,-0.1234429363220992,-0.012164529272516671,-0.010879396186495987,0.0007966895890720571,0.02153674172368952,0.01290033926443185,0.025500254012449826,1.0,0.0007614686820647328
is_holiday,0.016368513142578738,-0.0695061074626831,-0.0436994960325925,0.002760542384402457,0.022014098357910104,-3.057368087315005e-05,-0.03592162482482506,-0.03236524279257652,-0.016006419041177923,0.0021824524069562036,0.0007614686820647328,1.0
