,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,Feiertagsanteil,Schulferienanteil,temp,rain_1h,sun_1h,snow_1h
volume,1.0,0.019662030580231225,-0.26706773047663224,-0.7086426214212201,-0.04553690662685602,-0.004088619699307525,-0.02658930859700191,-0.049195053929104865,-0.013276948765870225,-0.05596316902033215,0.034164839242159496,-0.017814744925139802,0.01867844181215756,0.23006573530483376,-0.014336988046783173,0.38155791123346533,0.00015710411765842438
Year,0.019662030580231225,1.0,3.991516873213392e-05,6.913686121329488e-05,0.0016628291881872303,0.0017490497096779704,-0.05005018911768441,-0.05267192521307504,-0.03388948130385962,-0.06359799445566781,-0.0013407743033707251,-0.004806914572600266,0.016369198292611898,0.09608141405782418,0.010524198152836037,-0.00038387385320609515,-0.02639641004771029
Hour_sin,-0.26706773047663224,3.991516873213392e-05,1.0,-4.411744289687797e-05,3.980475491343439e-05,-3.175208888066688e-05,-4.938336218129497e-05,1.4521757682878936e-06,-4.920662130467814e-05,-2.626945096788427e-06,-5.6908116623961354e-05,7.281009691493318e-06,1.1107538237943407e-05,-0.1539803773255744,-0.028489600633755278,0.03315604466344828,-0.0017373655327071553
Hour_cos,-0.7086426214212201,6.913686121329488e-05,-4.411744289687797e-05,1.0,6.894561399926236e-05,-5.499763202656833e-05,-8.553667104198534e-05,2.515306279294897e-06,-8.523053906645805e-05,-4.5501182719079284e-06,-9.857026002831737e-05,1.2611399939691145e-05,1.923931061756044e-05,-0.17517266347576232,0.018912702499406152,-0.5029435556188143,0.00107899255566225
DayOfWeek_sin,-0.04553690662685602,0.0016628291881872303,3.980475491343439e-05,6.894561399926236e-05,1.0,0.00018241978565222258,0.0020531177310892266,-0.0005049640928105734,0.0014865185499414182,0.000353411948489668,-0.78587621820776,0.014281364313489139,-0.04602372241946802,-0.005030422361707996,-0.004886679175239602,0.0011082282163043975,-0.001322898389754704
DayOfWeek_cos,-0.004088619699307525,0.0017490497096779704,-3.175208888066688e-05,-5.499763202656833e-05,0.00018241978565222258,1.0,0.0007636621707502549,0.000477180895274234,0.0009276491547367194,0.000640471756032021,0.1791727910113855,0.002211044231828444,0.0005535992704982615,0.0008666412047322337,-0.0033729528221013143,-0.008865361823051983,0.004882264469030543
Month_sin,-0.02658930859700191,-0.05005018911768441,-4.938336218129497e-05,-8.553667104198534e-05,0.0020531177310892266,0.0007636621707502549,1.0,-0.01147840186524833,0.9543977814520557,0.25068675169676186,-0.0017253157755766466,0.04858634002370873,-0.15727208871078657,-0.4330733601935799,-0.015887263800097768,-0.04177322852105262,-0.004705762024229577
Month_cos,-0.049195053929104865,-0.05267192521307504,1.4521757682878936e-06,2.515306279294897e-06,-0.0005049640928105734,0.000477180895274234,-0.01147840186524833,1.0,-0.26858031917909897,0.9532794173479293,0.00029756902757866106,0.0016322543389941733,-0.15321955497965573,-0.7090186478562777,-0.03154216963815281,-0.25223457697401636,-0.005245119655570759
DayOfYear_sin,-0.013276948765870225,-0.03388948130385962,-4.920662130467814e-05,-8.523053906645805e-05,0.0014865185499414182,0.0009276491547367194,0.9543977814520557,-0.26858031917909897,1.0,-0.00689093728468658,-0.0015291610112696497,0.04688945106722844,-0.10019354223407216,-0.23507610965023945,-0.00737534644044455,0.023993489166241774,-0.0026884126169978953
DayOfYear_cos,-0.05596316902033215,-0.06359799445566781,-2.626945096788427e-06,-4.5501182719079284e-06,0.000353411948489668,0.000640471756032021,0.25068675169676186,0.9532794173479293,-0.00689093728468658,1.0,-0.00021444976344153034,0.011854410081305777,-0.19750167094235824,-0.8089778365325848,-0.03502994822762553,-0.25829889992155985,-0.004987390922143601
