,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,is_holiday,temp,rain_1h,sun_1h,snow_1h
volume,1.0,0.030581420914560113,-0.36502499368878966,-0.7043243083355929,-0.030338764386898115,-0.0018820297868259507,-0.07789108784715292,-0.09934509258962826,-0.048730377553305046,-0.11774116045438494,0.013796974577365962,-0.04333385116261564,0.31501256339117273,-0.00455902803102512,0.39909475834151814,0.007667800264953033
Year,0.030581420914560113,1.0,-6.48630677081257e-17,1.4593306502779952e-15,0.0022651146598947672,0.000701088585042775,0.13041505222938904,0.033971244369098604,0.11386361949875508,0.06552848108533249,-0.00185364108002611,0.001846373635946926,-0.05796040594666643,-0.0010636174559445258,-0.0311080257603888,0.004735134389274758
Hour_sin,-0.36502499368878966,-6.48630677081257e-17,1.0,-2.0350292594303955e-17,3.217451559689306e-18,1.435961026766207e-18,-1.107143650904629e-18,-1.913385318620378e-18,2.4732970686098773e-18,-5.011191098959039e-19,4.073068069855969e-19,6.031214268559073e-19,-0.1668717990524529,-0.025476819818142524,0.0019220972373613374,-0.007640492527024053
Hour_cos,-0.7043243083355929,1.4593306502779952e-15,-2.0350292594303955e-17,1.0,1.0408604877175195e-18,2.156484564399785e-19,-1.6976893748110023e-18,9.7807126622215e-19,-6.631291330745851e-19,5.280609975247168e-19,6.194457689572629e-19,-1.9329932186103216e-18,-0.1762729234383269,0.019391027145430676,-0.5054571390090214,0.0032280227150439105
DayOfWeek_sin,-0.030338764386898115,0.0022651146598947672,3.217451559689306e-18,1.0408604877175195e-18,1.0,7.670213498667071e-17,-0.00043613512493295237,0.001216674816294865,-0.0007281079446435093,0.0012241107581677328,-0.7860042432876265,0.004500161760116529,-0.0041302348088248985,0.0024036280799481402,-0.01124745920003299,-0.0035599479230975315
DayOfWeek_cos,-0.0018820297868259507,0.000701088585042775,1.435961026766207e-18,2.156484564399785e-19,7.670213498667071e-17,1.0,0.0007074150607752871,0.0007274618493399323,0.001029491457282543,0.0005924679794549491,0.1785858703778395,-0.0053591428979296515,-0.006547870795962721,-0.0019038026312402632,-0.001106857220129683,0.0038641090342876184
Month_sin,-0.07789108784715292,0.13041505222938904,-1.107143650904629e-18,-1.6976893748110023e-18,-0.00043613512493295237,0.0007074150607752871,1.0,-0.018996717288700938,0.9519794027804268,0.23563625774897431,0.0012684014284670686,0.05486642426147975,-0.415792782016188,-0.02144025816681554,-0.0364241401106098,-0.0128245636771993
Month_cos,-0.09934509258962826,0.033971244369098604,-1.913385318620378e-18,9.7807126622215e-19,0.001216674816294865,0.0007274618493399323,-0.018996717288700938,1.0,-0.2827288118080097,0.9558033691921427,-0.0018750897169472142,0.021742126685124017,-0.7160152710020338,-0.03939781126058073,-0.24668008947577114,-0.00828255741330211
DayOfYear_sin,-0.048730377553305046,0.11386361949875508,2.4732970686098773e-18,-6.631291330745851e-19,-0.0007281079446435093,0.001029491457282543,0.9519794027804268,-0.2827288118080097,1.0,-0.029207950635415123,0.0012002686012527579,0.04454360048191893,-0.20988864554794784,-0.010608961730449118,0.03126628180367308,-0.009070448045647142
DayOfYear_cos,-0.11774116045438494,0.06552848108533249,-5.011191098959039e-19,5.280609975247168e-19,0.0012241107581677328,0.0005924679794549491,0.23563625774897431,0.9558033691921427,-0.029207950635415123,1.0,-0.0008481110437582987,0.02669227994017852,-0.8130630375426843,-0.044135333689445624,-0.2513439904200104,-0.00924147241967839
is_weekend,0.013796974577365962,-0.00185364108002611,4.073068069855969e-19,6.194457689572629e-19,-0.7860042432876265,0.1785858703778395,0.0012684014284670686,-0.0018750897169472142,0.0012002686012527579,-0.0008481110437582987,1.0,-0.04467152551164932,-0.0019718262742169303,-0.006673505623990354,0.009144831753496204,0.006222972700238148
is_holiday,-0.04333385116261564,0.001846373635946926,6.031214268559073e-19,-1.9329932186103216e-18,0.004500161760116529,-0.0053591428979296515,0.05486642426147975,0.021742126685124017,0.04454360048191893,0.02669227994017852,-0.04467152551164932,1.0,-0.018005864425117507,0.0025193671958137283,-0.005408582260286431,-0.003973237315498726
temp,0.31501256339117273,-0.05796040594666643,-0.1668717990524529,-0.1762729234383269,-0.0041302348088248985,-0.006547870795962721,-0.415792782016188,-0.7160152710020338,-0.20988864554794784,-0.8130630375426843,-0.0019718262742169303,-0.018005864425117507,1.0,-0.002915812632625082,0.4189850959547025,0.0030386033675787114
rain_1h,-0.00455902803102512,-0.0010636174559445258,-0.025476819818142524,0.019391027145430676,0.0024036280799481402,-0.0019038026312402632,-0.02144025816681554,-0.03939781126058073,-0.010608961730449118,-0.044135333689445624,-0.006673505623990354,0.0025193671958137283,-0.002915812632625082,1.0,-0.10396133356673258,0.004865852451763547
sun_1h,0.39909475834151814,-0.0311080257603888,0.0019220972373613374,-0.5054571390090214,-0.01124745920003299,-0.001106857220129683,-0.0364241401106098,-0.24668008947577114,0.03126628180367308,-0.2513439904200104,0.009144831753496204,-0.005408582260286431,0.4189850959547025,-0.10396133356673258,1.0,-0.006249040341313934
snow_1h,0.007667800264953033,0.004735134389274758,-0.007640492527024053,0.0032280227150439105,-0.0035599479230975315,0.0038641090342876184,-0.0128245636771993,-0.00828255741330211,-0.009070448045647142,-0.00924147241967839,0.006222972700238148,-0.003973237315498726,0.0030386033675787114,0.004865852451763547,-0.006249040341313934,1.0
