,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,is_holiday,temp,rain_1h,sun_1h,snow_1h
volume,1.0,0.03566304929970697,-0.2091698445948889,-0.7714599014417093,-0.05289476281049968,-0.13642992970864512,-0.11193962491832041,-0.14995367109497382,-0.06839947931377259,-0.17473671628143245,-0.0165750889019388,-0.01389841471424344,0.33631059006663344,-0.014865130188046726,0.46724441523282584,-0.005042615645741037
Year,0.03566304929970697,1.0,3.8498346002859295e-05,6.668223239034955e-05,0.0004868818880266378,0.0010076969309647072,-0.06029239539893424,0.06099996350417112,-0.07354729331180941,0.04288762789907132,-3.197083282927294e-05,-0.0020582436218460507,0.010764138575967053,0.003659252413427276,-0.029355699897268595,-0.042339967833922576
Hour_sin,-0.2091698445948889,3.8498346002859295e-05,1.0,-2.9640132928734312e-05,2.6748906324464177e-05,-2.13290422913729e-05,-3.346691671423588e-05,-1.0889797593194363e-06,-3.3135267851681685e-05,-2.983442338103207e-06,-3.825490345216273e-05,4.849387492449173e-06,-0.15891531705172415,-0.02799769907450104,0.025941102766876067,-0.00582444725798933
Hour_cos,-0.7714599014417093,6.668223239034955e-05,-2.9640132928734312e-05,1.0,4.633125764879523e-05,-3.694361712650134e-05,-5.796739209408053e-05,-1.8862005493327211e-06,-5.73929495836593e-05,-5.167562141429652e-06,-6.626057030791628e-05,8.399529260229649e-06,-0.1797295041447686,0.02050761184267885,-0.5070394230188617,0.0009618965904968642
DayOfWeek_sin,-0.05289476281049968,0.0004868818880266378,2.6748906324464177e-05,4.633125764879523e-05,1.0,0.0003545635783486365,-2.514832036280885e-05,-0.0014864620982175222,-0.00046720379394020695,-0.0012231927012125374,-0.7856027936405384,-0.0016520053840236011,-0.0045742996700042825,0.0009598436251393597,-0.0036667090191210105,-0.004513736457920103
DayOfWeek_cos,-0.13642992970864512,0.0010076969309647072,-2.13290422913729e-05,-3.694361712650134e-05,0.0003545635783486365,1.0,-0.00028639972810435654,-0.0006595846751376316,-0.0006941539248675379,-0.00036050730728602836,0.1790245458390652,-0.01621725338442813,-0.005838489741016552,-0.002343872974802958,-0.006666828913252264,0.0058177818473755935
Month_sin,-0.11193962491832041,-0.06029239539893424,-3.346691671423588e-05,-5.796739209408053e-05,-2.514832036280885e-05,-0.00028639972810435654,1.0,0.021515235666322817,0.953580337977641,0.2790871946230836,-0.0002054178162135943,0.048644528928875455,-0.46448898757357876,-0.014344786612924378,-0.04851076846269221,-1.9923416283758836e-05
Month_cos,-0.14995367109497382,0.06099996350417112,-1.0889797593194363e-06,-1.8862005493327211e-06,-0.0014864620982175222,-0.0006595846751376316,0.021515235666322817,1.0,-0.23889985652739948,0.954442546867403,0.0006448903453680585,0.020150943268524554,-0.7034280064424511,-0.03884784725870631,-0.24213344653556207,-0.004054212251344495
DayOfYear_sin,-0.06839947931377259,-0.07354729331180941,-3.3135267851681685e-05,-5.73929495836593e-05,-0.00046720379394020695,-0.0006941539248675379,0.953580337977641,-0.23889985652739948,1.0,0.019648898078508528,8.87263064650459e-05,0.039159096548619626,-0.2665607227466563,-0.003286057010057888,0.017023856859961835,0.0010080443305974273
DayOfYear_cos,-0.17473671628143245,0.04288762789907132,-2.983442338103207e-06,-5.167562141429652e-06,-0.0012231927012125374,-0.00036050730728602836,0.2790871946230836,0.954442546867403,0.019648898078508528,1.0,0.0006301652804242403,0.0261591304541748,-0.8061679202781035,-0.04110155121501881,-0.24796673706057554,-0.002191503675060772
is_weekend,-0.0165750889019388,-3.197083282927294e-05,-3.825490345216273e-05,-6.626057030791628e-05,-0.7856027936405384,0.1790245458390652,-0.0002054178162135943,0.0006448903453680585,8.87263064650459e-05,0.0006301652804242403,1.0,-0.04655157670372114,-0.001291074914776305,-0.004856682717214978,-0.0015283063315507809,0.008908080131664728
is_holiday,-0.01389841471424344,-0.0020582436218460507,4.849387492449173e-06,8.399529260229649e-06,-0.0016520053840236011,-0.01621725338442813,0.048644528928875455,0.020150943268524554,0.039159096548619626,0.0261591304541748,-0.04655157670372114,1.0,-0.02137396443040768,-0.003365639867493429,0.00014889965608725446,-0.0033762568619265685
temp,0.33631059006663344,0.010764138575967053,-0.15891531705172415,-0.1797295041447686,-0.0045742996700042825,-0.005838489741016552,-0.46448898757357876,-0.7034280064424511,-0.2665607227466563,-0.8061679202781035,-0.001291074914776305,-0.02137396443040768,1.0,-0.0054829292918488455,0.4163832205645788,-0.005224058072525796
rain_1h,-0.014865130188046726,0.003659252413427276,-0.02799769907450104,0.02050761184267885,0.0009598436251393597,-0.002343872974802958,-0.014344786612924378,-0.03884784725870631,-0.003286057010057888,-0.04110155121501881,-0.004856682717214978,-0.003365639867493429,-0.0054829292918488455,1.0,-0.10614976687849365,0.0066681731305887875
sun_1h,0.46724441523282584,-0.029355699897268595,0.025941102766876067,-0.5070394230188617,-0.0036667090191210105,-0.006666828913252264,-0.04851076846269221,-0.24213344653556207,0.017023856859961835,-0.24796673706057554,-0.0015283063315507809,0.00014889965608725446,0.4163832205645788,-0.10614976687849365,1.0,-0.0020842795818377118
snow_1h,-0.005042615645741037,-0.042339967833922576,-0.00582444725798933,0.0009618965904968642,-0.004513736457920103,0.0058177818473755935,-1.9923416283758836e-05,-0.004054212251344495,0.0010080443305974273,-0.002191503675060772,0.008908080131664728,-0.0033762568619265685,-0.005224058072525796,0.0066681731305887875,-0.0020842795818377118,1.0
