,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,is_holiday,temp,rain_1h,sun_1h,snow_1h
volume,1.0,-0.009840567488679217,-0.24020678862584047,-0.7627731082631198,0.031152947575488362,-0.06616072456811344,-0.0630688416308998,-0.05327745256935938,-0.046598501679428236,-0.06699090824193321,-0.05913390565682043,-0.03592162482482506,0.23452285058268088,-0.017683736885602142,0.4119465556310395,0.0007966895890720571
Year,-0.009840567488679217,1.0,2.4464895843605693e-05,4.237676939849419e-05,0.0010932284566231246,0.006270824063495954,0.10361771233758277,0.2811449818088781,0.021990599162513884,0.29385557700677783,0.0019776720304389567,0.002760542384402457,-0.2226608785850782,-0.0231434693885276,-0.07820101692237219,-0.1234429363220992
Hour_sin,-0.24020678862584047,2.4464895843605693e-05,1.0,-9.51049203920636e-05,8.587265918418614e-05,-6.832528554975567e-05,-9.949343283337483e-05,8.63088362492169e-06,-0.00010124522056810248,2.3025707608408483e-06,-0.00012273005461244416,1.5751409864759542e-05,-0.13872532788908298,-0.033598240998431075,0.07084847887630207,0.02643371884049163
Hour_cos,-0.7627731082631198,4.237676939849419e-05,-9.51049203920636e-05,1.0,0.000148743975824689,-0.00011834936426307789,-0.00017233714326164254,1.494994981461471e-05,-0.00017537149523046605,3.988388537623469e-06,-0.00021258636275698397,2.728374025431711e-05,-0.17361773867485025,0.017960252807685765,-0.4945676071325694,-0.0031056140533880197
DayOfWeek_sin,0.031152947575488362,0.0010932284566231246,8.587265918418614e-05,0.000148743975824689,1.0,0.0007475321789525262,-0.0020246463427280675,0.0018334198425919836,-0.0028072346152885675,0.0008331627545380356,-0.78605833952203,-0.00368114400741521,-0.016713196545269492,-0.004592116235882012,0.009777367519688327,-0.0046698447008716995
DayOfWeek_cos,-0.06616072456811344,0.006270824063495954,-6.832528554975567e-05,-0.00011834936426307789,0.0007475321789525262,1.0,-0.0020769936403718563,-0.002192068816870918,-0.0019453176408535068,-0.0019047602969156612,0.17793759305494156,-0.000865306350888035,0.008084796353918337,-0.0027906834086336867,-0.02179400515837012,0.004992130535915933
Month_sin,-0.0630688416308998,0.10361771233758277,-9.949343283337483e-05,-0.00017233714326164254,-0.0020246463427280675,-0.0020769936403718563,1.0,0.011414471604003926,0.9488852934872257,0.25742959120085657,-0.0004699473227474373,0.03260336667477067,-0.41076704405553055,-0.012399188917380273,-0.04139968877379527,-0.004611671047710203
Month_cos,-0.05327745256935938,0.2811449818088781,8.63088362492169e-06,1.494994981461471e-05,0.0018334198425919836,-0.002192068816870918,0.011414471604003926,1.0,-0.26079653533698793,0.9583685072175593,-0.0007311471362842875,0.040019706419086885,-0.7365956486733175,-0.02959773773247363,-0.27869616020863397,-0.039807495584932864
DayOfYear_sin,-0.046598501679428236,0.021990599162513884,-0.00010124522056810248,-0.00017537149523046605,-0.0028072346152885675,-0.0019453176408535068,0.9488852934872257,-0.26079653533698793,1.0,-0.015350438086411643,0.00018513104282113254,0.016704794123824813,-0.19573377656527846,-0.0022986966724039184,0.034071828824011684,0.006345791963573658
DayOfYear_cos,-0.06699090824193321,0.29385557700677783,2.3025707608408483e-06,3.988388537623469e-06,0.0008331627545380356,-0.0019047602969156612,0.25742959120085657,0.9583685072175593,-0.015350438086411643,1.0,-0.00014326635443868735,0.04175879043412135,-0.8173998155336342,-0.03214879827603947,-0.2815043652162656,-0.038764781017540405
is_weekend,-0.05913390565682043,0.0019776720304389567,-0.00012273005461244416,-0.00021258636275698397,-0.78605833952203,0.17793759305494156,-0.0004699473227474373,-0.0007311471362842875,0.00018513104282113254,-0.00014326635443868735,1.0,-0.046020822742229385,0.011715272049566853,-0.0010285705065662914,-0.015867640375392233,0.007648586019784984
is_holiday,-0.03592162482482506,0.002760542384402457,1.5751409864759542e-05,2.728374025431711e-05,-0.00368114400741521,-0.000865306350888035,0.03260336667477067,0.040019706419086885,0.016704794123824813,0.04175879043412135,-0.046020822742229385,1.0,-0.032365242792576535,-0.016006419041177923,0.0021824524069562015,0.0007614686820647328
temp,0.23452285058268088,-0.2226608785850782,-0.13872532788908298,-0.17361773867485025,-0.016713196545269492,0.008084796353918337,-0.41076704405553055,-0.7365956486733175,-0.19573377656527846,-0.8173998155336342,0.011715272049566853,-0.032365242792576535,1.0,-0.004919177523223011,0.4305462230745926,0.02153674172368952
rain_1h,-0.017683736885602142,-0.0231434693885276,-0.033598240998431075,0.017960252807685765,-0.004592116235882012,-0.0027906834086336867,-0.012399188917380273,-0.02959773773247363,-0.0022986966724039184,-0.03214879827603947,-0.0010285705065662914,-0.016006419041177923,-0.004919177523223011,1.0,-0.10211716796049775,0.01290033926443185
sun_1h,0.4119465556310395,-0.07820101692237219,0.07084847887630207,-0.4945676071325694,0.009777367519688327,-0.02179400515837012,-0.04139968877379527,-0.27869616020863397,0.034071828824011684,-0.2815043652162656,-0.015867640375392233,0.0021824524069562015,0.4305462230745926,-0.10211716796049775,1.0,0.025500254012449826
snow_1h,0.0007966895890720571,-0.1234429363220992,0.02643371884049163,-0.0031056140533880197,-0.0046698447008716995,0.004992130535915933,-0.004611671047710203,-0.039807495584932864,0.006345791963573658,-0.038764781017540405,0.007648586019784984,0.0007614686820647328,0.02153674172368952,0.01290033926443185,0.025500254012449826,1.0
