,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,Feiertagsanteil,Schulferienanteil,temp,rain_1h,sun_1h,snow_1h
volume,1.0,0.005305225903883648,-0.2416437084806239,-0.7655129857703141,0.030279830581744,-0.06634775807000258,-0.04909671031998092,-0.061237517729115405,-0.03075503730957044,-0.07162494020082902,-0.05821246026166945,-0.028897585206471024,-0.017591869873956657,0.23279661648695738,-0.020153878803306685,0.4153625206490857,-0.001475864745673125
Year,0.005305225903883648,1.0,2.252532036244467e-05,3.901720861638628e-05,-0.0012841532866847089,0.006017927154385997,0.06583473308563939,0.3091546999013819,-0.023361723594836098,0.3122505196114842,0.004054382494007391,-0.008019585832029653,-0.06716652554109596,-0.23319809915811063,-0.017955391187837334,-0.09880814072238234,-0.1199507369296837
Hour_sin,-0.2416437084806239,2.252532036244467e-05,1.0,-9.80776223298996e-05,8.837381504602866e-05,-7.050667433185566e-05,-0.00010611782306445294,1.0225466945766929e-05,-0.00010867172523247457,3.1370008961418552e-06,-0.00012632433674457169,1.5721083168624928e-05,2.6034342846813597e-05,-0.13249077536054663,-0.033915551741077396,0.07276027887219495,0.026856000392065385
Hour_cos,-0.7655129857703141,3.901720861638628e-05,-9.80776223298996e-05,1.0,0.00015307660545747228,-0.00012212805753825473,-0.00018381186921468662,1.771203119906529e-05,-0.00018823560801499274,5.4337526138097494e-06,-0.00021881255941540867,2.723125672818747e-05,4.509535801109243e-05,-0.1696313963925832,0.018161394952113365,-0.48738411488720723,-0.003154461249311669
DayOfWeek_sin,0.030279830581744,-0.0012841532866847089,8.837381504602866e-05,0.00015307660545747228,1.0,0.0009385383762429199,-0.0045874644068379785,0.0030607136752080627,-0.005494167348729209,0.0015774420797113986,-0.78609979478147,-0.0032811907600334015,-0.06017434604779482,-0.013354023785416634,-0.004718566458200477,0.0077620839069578035,-0.004386842707289251
DayOfWeek_cos,-0.06634775807000258,0.006017927154385997,-7.050667433185566e-05,-0.00012212805753825473,0.0009385383762429199,1.0,-0.002925884012521131,-0.00296445462051951,-0.0025745652478424094,-0.002110652608147404,0.17856805859236505,-0.006096172670165717,0.008616290093268853,0.00990385930552036,-0.0030241553950713473,-0.020780507916754017,0.005143677133621651
Month_sin,-0.04909671031998092,0.06583473308563939,-0.00010611782306445294,-0.00018381186921468662,-0.0045874644068379785,-0.002925884012521131,1.0,0.03170389258005289,0.9467533308600217,0.27486161391407304,0.0016273201901867921,0.02908704760461032,-0.1975212878189658,-0.4262864398559506,-0.0068227518965101605,-0.06033755967325601,0.0015100830944469218
Month_cos,-0.061237517729115405,0.3091546999013819,1.0225466945766929e-05,1.771203119906529e-05,0.0030607136752080627,-0.00296445462051951,0.03170389258005289,1.0,-0.24655341163303188,0.9594543724689504,-0.0015629834869276937,0.02196202593695125,-0.18643971023937425,-0.7420774512503723,-0.03258538425777422,-0.2787695708310207,-0.043099498268753623
DayOfYear_sin,-0.03075503730957044,-0.023361723594836098,-0.00010867172523247457,-0.00018823560801499274,-0.005494167348729209,-0.0025745652478424094,0.9467533308600217,-0.24655341163303188,1.0,-0.003174496844166466,0.0023616094076836947,0.022268212781093227,-0.12612475701440226,-0.2066107226557242,0.004138940994373929,0.016742810144895343,0.01335818368692152
DayOfYear_cos,-0.07162494020082902,0.3122505196114842,3.1370008961418552e-06,5.4337526138097494e-06,0.0015774420797113986,-0.002110652608147404,0.27486161391407304,0.9594543724689504,-0.003174496844166466,1.0,-0.0004866744452351493,0.02613348131117049,-0.2322157325575602,-0.8225388303102614,-0.033578950703417466,-0.28572566439048586,-0.0405992509236058
