,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,is_holiday,temp,rain_1h,sun_1h,snow_1h
volume,1.0,0.02879947049429863,-0.3542327201734106,-0.7224560052044571,-0.017586124131288468,-0.12911808357445617,-0.05567408588386978,-0.05766807118730659,-0.03726449967386572,-0.0711760691144746,-0.0457586795802568,-0.02546839399471322,0.2616325808165417,-0.018591654511842106,0.4089841225667083,-0.0009663512565048489
Year,0.02879947049429863,1.0,3.8217895264753583e-05,6.619688603640612e-05,0.0013014345282184258,0.001596805981122601,-0.04385356525500501,-0.04653415368697972,-0.02938838893023081,-0.05627634933272844,-0.0010517231497236435,-0.004410196143506913,0.08818376234620572,0.010818996977547811,-0.0018500250744494455,-0.0213616342276321
Hour_sin,-0.3542327201734106,3.8217895264753583e-05,1.0,-4.0548057122489104e-05,3.659518615952204e-05,-2.917659772533685e-05,-4.529373721556013e-05,1.7688403785560117e-06,-4.505419794037427e-05,-1.980875974857508e-06,-5.2317675732012135e-05,6.747885971948747e-06,-0.15579947124998886,-0.027276288873688038,0.030094865910089554,-0.0067360882595258985
Hour_cos,-0.7224560052044571,6.619688603640612e-05,-4.0548057122489104e-05,1.0,6.338620562179882e-05,-5.05365327204841e-05,-7.845289071656145e-05,3.0637931300167806e-06,-7.803798680857016e-05,-3.431058153556434e-06,-9.0618993906692e-05,1.1687954963965127e-05,-0.17548109904443737,0.018799278500076382,-0.5027917601712772,0.00010476744606966785
DayOfWeek_sin,-0.017586124131288468,0.0013014345282184258,3.659518615952204e-05,6.338620562179882e-05,1.0,0.0004414123923670892,0.001475638376701853,-0.0007332987433986591,0.0008963871531420576,1.3493379538167909e-05,-0.7858751337633548,0.010344075170961206,-0.0035183271642559182,-0.004476472008119,0.0019385937716361965,-0.002731115087496805
DayOfWeek_cos,-0.12911808357445617,0.001596805981122601,-2.917659772533685e-05,-5.05365327204841e-05,0.0004414123923670892,1.0,0.0010784832090046902,-0.00023460812102549412,0.001124238759317988,-6.179880673723954e-06,0.1789982353347785,-0.0025890989387273087,-0.0014596599476740509,-0.004895659728537949,-0.008060551923331402,0.0030887332040782306
Month_sin,-0.05567408588386978,-0.04385356525500501,-4.529373721556013e-05,-7.845289071656145e-05,0.001475638376701853,0.0010784832090046902,1.0,-0.027054695153101254,0.9546114668615864,0.23411931731957603,-0.0013100714939364272,0.052708179709322844,-0.41916166193540316,-0.014604288675315075,-0.03120193224744869,-0.0007733713660799529
Month_cos,-0.05766807118730659,-0.04653415368697972,1.7688403785560117e-06,3.0637931300167806e-06,-0.0007332987433986591,-0.00023460812102549412,-0.027054695153101254,1.0,-0.2829663448733723,0.9536249364400934,0.000662222581848494,0.02404341600188921,-0.7073635303041729,-0.029271574965868415,-0.25507294268196273,0.001261082082840159
DayOfYear_sin,-0.03726449967386572,-0.02938838893023081,-4.505419794037427e-05,-7.803798680857016e-05,0.0008963871531420576,0.001124238759317988,0.9546114668615864,-0.2829663448733723,1.0,-0.022948613757783173,-0.0011291558962624516,0.04029214933451526,-0.22111195509291648,-0.006477077180628261,0.03464670361100461,-0.001477116988164243
DayOfYear_cos,-0.0711760691144746,-0.05627634933272844,-1.980875974857508e-06,-3.431058153556434e-06,1.3493379538167909e-05,-6.179880673723954e-06,0.23411931731957603,0.9536249364400934,-0.022948613757783173,1.0,2.7152584730317073e-05,0.031407846424857444,-0.8067120895688229,-0.0323021931441994,-0.25981220158149637,0.0022864683732014687
is_weekend,-0.0457586795802568,-0.0010517231497236435,-5.2317675732012135e-05,-9.0618993906692e-05,-0.7858751337633548,0.1789982353347785,-0.0013100714939364272,0.000662222581848494,-0.0011291558962624516,2.7152584730317073e-05,1.0,-0.052736926434146035,-0.0013215480007218734,-0.0019536362610452244,-0.0046149218527082635,0.006000348837619862
is_holiday,-0.02546839399471322,-0.004410196143506913,6.747885971948747e-06,1.1687954963965127e-05,0.010344075170961206,-0.0025890989387273087,0.052708179709322844,0.02404341600188921,0.04029214933451526,0.031407846424857444,-0.052736926434146035,1.0,-0.023789727271836286,-0.00883743305799415,0.002647428921182667,-0.003314248304846065
temp,0.2616325808165417,0.08818376234620572,-0.15579947124998886,-0.17548109904443737,-0.0035183271642559182,-0.0014596599476740509,-0.41916166193540316,-0.7073635303041729,-0.22111195509291648,-0.8067120895688229,-0.0013215480007218734,-0.023789727271836286,1.0,-0.005970972753910389,0.4177331578118727,-0.008288881319699333
rain_1h,-0.018591654511842106,0.010818996977547811,-0.027276288873688038,0.018799278500076382,-0.004476472008119,-0.004895659728537949,-0.014604288675315075,-0.029271574965868415,-0.006477077180628261,-0.0323021931441994,-0.0019536362610452244,-0.00883743305799415,-0.005970972753910389,1.0,-0.10508820625896399,0.007352890684449818
sun_1h,0.4089841225667083,-0.0018500250744494455,0.030094865910089554,-0.5027917601712772,0.0019385937716361965,-0.008060551923331402,-0.03120193224744869,-0.25507294268196273,0.03464670361100461,-0.25981220158149637,-0.0046149218527082635,0.002647428921182667,0.4177331578118727,-0.10508820625896399,1.0,-0.00529696932470572
snow_1h,-0.0009663512565048489,-0.0213616342276321,-0.0067360882595258985,0.00010476744606966785,-0.002731115087496805,0.0030887332040782306,-0.0007733713660799529,0.001261082082840159,-0.001477116988164243,0.0022864683732014687,0.006000348837619862,-0.003314248304846065,-0.008288881319699333,0.007352890684449818,-0.00529696932470572,1.0
