,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,Feiertagsanteil,Schulferienanteil,temp,rain_1h,sun_1h,snow_1h
volume,1.0,0.007373463739085162,-0.2152336808852449,-0.7163700641988143,0.0120937812501318,-0.029512846321091097,-0.01609328394668614,-0.02105936354448772,-0.010609028050068187,-0.025183633699023905,-0.02839794859626773,-0.03478368295939191,-0.022940861005358793,0.1861048450862237,-0.005776848281753504,0.36321163820281327,2.1445613193596406e-05
Year,0.007373463739085162,1.0,-2.201980655019157e-16,-3.0457874549650964e-16,0.0012824929812344588,0.0013134325814330616,-0.0172279044639913,-0.008244365761155736,-0.014364057275705697,-0.012396628316007765,-0.0006070371400728869,0.0005226815054140591,-0.010006775529579051,0.04092659619192764,0.012311087316886841,-0.018502970198427008,-0.030428170783539862
Hour_sin,-0.2152336808852449,-2.201980655019157e-16,1.0,-2.026844363204977e-17,-1.0105067962946625e-18,5.516758553488103e-19,1.611468905532113e-19,-2.27143419366373e-19,1.779550462833353e-18,-2.4332397494197902e-18,-3.7293078740780176e-19,-9.047952100933245e-19,-4.444452994120415e-19,-0.15630963112187019,-0.029605810784858223,0.03520756123931583,-0.0005316548918587868
Hour_cos,-0.7163700641988143,-3.0457874549650964e-16,-2.026844363204977e-17,1.0,4.254765458082813e-19,-1.4190821445993579e-18,-3.7798114391427285e-19,-1.0187038201885877e-19,1.189354169373355e-18,3.3305657203596864e-19,7.319900433812688e-19,-4.677972085618813e-19,2.2151267318938935e-19,-0.17904951046320053,0.019972541942791626,-0.5099565435569224,0.0013191346623849282
DayOfWeek_sin,0.0120937812501318,0.0012824929812344588,-1.0105067962946625e-18,4.254765458082813e-19,1.0,0.00012825697855368268,-0.0003841367370502041,-0.00020663345827840932,-0.0003942821114413656,-0.00014956769253125942,-0.7858358536702333,0.006102160590243845,-0.04619963228256926,-0.006753001048534918,-0.006454521539830926,0.0008321680510078783,-0.0010940961768563563
DayOfWeek_cos,-0.029512846321091097,0.0013134325814330616,5.516758553488103e-19,-1.4190821445993579e-18,0.00012825697855368268,1.0,0.00044930201739213824,-8.297252165189767e-05,0.0007856109058938802,0.00019387850091396726,0.17890478526330367,0.00294474079073346,0.0006102354508905172,-0.0015596438038942833,0.0003272388322946733,-0.012947319783206887,0.00461193581878784
Month_sin,-0.01609328394668614,-0.0172279044639913,1.611468905532113e-19,-3.7798114391427285e-19,-0.0003841367370502041,0.00044930201739213824,1.0,-0.0019410536613017725,0.9559036192408974,0.26470887221226125,0.0005376990836878309,0.04527648807559208,-0.18213849002821364,-0.4442990977179024,-0.012281018064652309,-0.04452916647040287,-0.007091776400781853
Month_cos,-0.02105936354448772,-0.008244365761155736,-2.27143419366373e-19,-1.0187038201885877e-19,-0.00020663345827840932,-8.297252165189767e-05,-0.0019410536613017725,1.0,-0.2552977168511867,0.951579400923945,0.00036300121152081345,-0.003344493164262651,-0.16445364584166325,-0.7058945966534814,-0.03142562068288467,-0.24705600596571145,-0.008856316312155147
DayOfYear_sin,-0.010609028050068187,-0.014364057275705697,1.779550462833353e-18,1.189354169373355e-18,-0.0003942821114413656,0.0007856109058938802,0.9559036192408974,-0.2552977168511867,1.0,0.0115704977797278,0.0004981435013583592,0.04635112139686338,-0.12395922643400868,-0.25046192993224325,-0.004489510895533605,0.019878252901383932,-0.004089596618667428
DayOfYear_cos,-0.025183633699023905,-0.012396628316007765,-2.4332397494197902e-18,3.3305657203596864e-19,-0.00014956769253125942,0.00019387850091396726,0.26470887221226125,0.951579400923945,0.0115704977797278,1.0,0.00034371689124506363,0.005669599138551459,-0.21705793452105585,-0.8089197854465531,-0.03349155627153019,-0.25436088747381647,-0.009113498268468474
