,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,Feiertagsanteil,Schulferienanteil,temp,rain_1h,sun_1h,snow_1h
volume,1.0,0.030049880237155987,-0.2716546035526953,-0.784252445410139,-0.0005265250073700824,-0.12905077655275424,-0.06427565713320879,-0.11261405328674746,-0.031090993906165838,-0.1266596026097578,-0.06399688245777743,-0.032317324418847625,0.013701279736612157,0.298703691905225,-0.011896001863279814,0.46086486787044273,-0.00347051057338766
Year,0.030049880237155987,1.0,-6.48630677081257e-17,1.4593306502779952e-15,0.0022651146598947672,0.000701088585042775,0.13041505222938904,0.033971244369098604,0.11386361949875508,0.06552848108533249,-0.00185364108002611,-0.00038531022503520513,-0.005212554830558515,-0.05796040594666643,-0.0010636174559445258,-0.0311080257603888,0.004735134389274758
Hour_sin,-0.2716546035526953,-6.48630677081257e-17,1.0,-2.0350292594303955e-17,3.217451559689306e-18,1.435961026766207e-18,-1.107143650904629e-18,-1.913385318620378e-18,2.4732970686098773e-18,-5.011191098959039e-19,4.073068069855969e-19,2.0449527838083854e-18,1.896128228738227e-18,-0.1668717990524529,-0.025476819818142524,0.0019220972373613374,-0.007640492527024053
Hour_cos,-0.784252445410139,1.4593306502779952e-15,-2.0350292594303955e-17,1.0,1.0408604877175195e-18,2.156484564399785e-19,-1.6976893748110023e-18,9.7807126622215e-19,-6.631291330745851e-19,5.280609975247168e-19,6.194457689572629e-19,1.1097147062108056e-18,-8.922956370532847e-19,-0.1762729234383269,0.019391027145430676,-0.5054571390090214,0.0032280227150439105
DayOfWeek_sin,-0.0005265250073700824,0.0022651146598947672,3.217451559689306e-18,1.0408604877175195e-18,1.0,7.670213498667071e-17,-0.00043613512493295237,0.001216674816294865,-0.0007281079446435093,0.0012241107581677328,-0.7860042432876265,0.0022020931166099695,-0.025771342347789238,-0.0041302348088248985,0.0024036280799481402,-0.01124745920003299,-0.0035599479230975315
DayOfWeek_cos,-0.12905077655275424,0.000701088585042775,1.435961026766207e-18,2.156484564399785e-19,7.670213498667071e-17,1.0,0.0007074150607752871,0.0007274618493399323,0.001029491457282543,0.0005924679794549491,0.1785858703778395,-0.002880805629385252,-0.002689591005407728,-0.006547870795962721,-0.0019038026312402632,-0.001106857220129683,0.0038641090342876184
Month_sin,-0.06427565713320879,0.13041505222938904,-1.107143650904629e-18,-1.6976893748110023e-18,-0.00043613512493295237,0.0007074150607752871,1.0,-0.018996717288700938,0.9519794027804268,0.23563625774897431,0.0012684014284670686,0.0536956410417923,-0.17981275472342348,-0.415792782016188,-0.02144025816681554,-0.0364241401106098,-0.0128245636771993
Month_cos,-0.11261405328674746,0.033971244369098604,-1.913385318620378e-18,9.7807126622215e-19,0.001216674816294865,0.0007274618493399323,-0.018996717288700938,1.0,-0.2827288118080097,0.9558033691921427,-0.0018750897169472142,-0.0018730753506464599,-0.16219880110480855,-0.7160152710020338,-0.03939781126058073,-0.24668008947577114,-0.00828255741330211
DayOfYear_sin,-0.031090993906165838,0.11386361949875508,2.4732970686098773e-18,-6.631291330745851e-19,-0.0007281079446435093,0.001029491457282543,0.9519794027804268,-0.2827288118080097,1.0,-0.029207950635415123,0.0012002686012527579,0.05451400582568881,-0.11698768260132228,-0.20988864554794784,-0.010608961730449118,0.03126628180367308,-0.009070448045647142
DayOfYear_cos,-0.1266596026097578,0.06552848108533249,-5.011191098959039e-19,5.280609975247168e-19,0.0012241107581677328,0.0005924679794549491,0.23563625774897431,0.9558033691921427,-0.029207950635415123,1.0,-0.0008481110437582987,0.006852943150873938,-0.21581213880233355,-0.8130630375426843,-0.044135333689445624,-0.2513439904200104,-0.00924147241967839
is_weekend,-0.06399688245777743,-0.00185364108002611,4.073068069855969e-19,6.194457689572629e-19,-0.7860042432876265,0.1785858703778395,0.0012684014284670686,-0.0018750897169472142,0.0012002686012527579,-0.0008481110437582987,1.0,-0.04067338928696248,0.022377699630619714,-0.0019718262742169303,-0.006673505623990354,0.009144831753496204,0.006222972700238148
Feiertagsanteil,-0.032317324418847625,-0.00038531022503520513,2.0449527838083854e-18,1.1097147062108056e-18,0.0022020931166099695,-0.002880805629385252,0.0536956410417923,-0.0018730753506464599,0.05451400582568881,0.006852943150873938,-0.04067338928696248,1.0,0.15343146230558513,-0.010572557025134316,-2.2962462330076676e-05,-0.007994900977805286,-0.0030318275830652592
Schulferienanteil,0.013701279736612157,-0.005212554830558515,1.896128228738227e-18,-8.922956370532847e-19,-0.025771342347789238,-0.002689591005407728,-0.17981275472342348,-0.16219880110480855,-0.11698768260132228,-0.21581213880233355,0.022377699630619714,0.15343146230558513,1.0,0.2378785166593366,0.005037554072468682,0.05696589156357069,-0.004941974206887106
