epoch,train_mse,val_mse,train_rmse,val_rmse,train_r2,val_r2
0,337140.38848854275,197014.74304831694,580.6379151317478,443.8634283744461,0.5001438856124878,0.6950337886810303
1,188446.9558497793,121121.25810263598,434.10477519808427,348.0247952411379,0.7206019759178162,0.8125120401382446
2,132842.46239538107,84152.45716545846,364.47559917692854,290.0904292896587,0.8030431270599365,0.8697373867034912
3,102654.70995971517,65412.007969335966,320.39773713263827,255.7577134112204,0.8478005528450012,0.8987463712692261
4,87533.19467042854,54601.72566592243,295.8600930683767,233.6701214659727,0.8702201843261719,0.9154800176620483
5,75676.32899479041,47791.98381005734,275.09330961473853,218.6137777223964,0.8877996206283569,0.9260210990905762
6,67143.25308284687,41124.43946677295,259.1201518269988,202.7916158690318,0.9004510641098022,0.9363420009613037
7,61187.05058993835,37422.73907269146,247.36016370858576,193.44957759760413,0.9092819094657898,0.9420719742774963
8,57791.802779243444,36480.10280394972,240.39925702722843,190.99765130479935,0.9143158793449402,0.9435311555862427
9,53771.62433886908,34907.77699698091,231.88709394631923,186.83623041846278,0.9202762842178345,0.9459649920463562
10,51578.41898893186,31288.533292766766,227.10882631225908,176.88565033028192,0.9235280156135559,0.9515673518180847
11,48639.07518907758,30702.51498310795,220.54268337235214,175.22133141574957,0.9278860092163086,0.9524744749069214
12,47045.226606180484,31772.039632493,216.89911619501927,178.24713078333968,0.9302490949630737,0.9508188962936401
13,46079.52251204477,31029.221092910833,214.6614136542587,176.15113139832746,0.9316809177398682,0.9519687294960022
14,44514.82301540357,32379.384631851193,210.98536208799788,179.94272597649285,0.9340007901191711,0.9498788118362427
15,44596.76966146725,32818.88708318344,211.17947263279936,181.15983849403113,0.9338792562484741,0.9491984844207764
16,43788.68941379773,33367.84748433528,209.25747158416527,182.66868227568534,0.9350773692131042,0.9483487010002136
17,41825.35214041689,31568.91579589899,204.5124742904865,177.67643567985877,0.93798828125,0.9511333107948303
18,42171.34395824333,33651.83465120683,205.35662628277504,183.44436391235035,0.9374752640724182,0.9479091167449951
19,41467.6011519875,32402.00344520698,203.6359525034504,180.0055650395481,0.9385187029838562,0.9498437643051147
20,41005.61773434092,33085.69109769585,202.4984388442067,181.89472531576018,0.9392036199569702,0.9487854838371277
21,40736.37771685232,29592.915633381304,201.83254870523814,172.02591558652233,0.9396028518676758,0.954192042350769
22,39277.56127080353,29617.158574512912,198.18567372745068,172.09636421061577,0.9417657256126404,0.9541545510292053
23,40371.4701670782,33231.18746110411,200.92652927644522,182.2942332085799,0.9401438236236572,0.9485602378845215
24,40453.946294223526,29951.078951201824,201.13166407660313,173.06380023332963,0.9400215744972229,0.9536376595497131
25,38789.24503159663,29448.590575724924,196.94985410402472,171.60591649393947,0.9424896836280823,0.9544154405593872
26,38715.811934935475,30006.412760867406,196.76333991609178,173.22359181378096,0.9425985813140869,0.9535520076751709
27,39220.21088086717,32530.500849227046,198.04093233689636,180.3621380701256,0.9418507218360901,0.9496448636054993
28,39157.473372835906,29964.381149130375,197.88247363734845,173.10222745282735,0.9419437646865845,0.9536170363426208
29,40000.496831050885,33528.24888583694,200.00124207377033,183.10720599101757,0.9406938552856445,0.9481003880500793
30,39049.02642555151,33114.46235631139,197.608265073988,181.9737957957447,0.9421045780181885,0.9487408995628357
31,38280.08804748824,29929.887932204987,195.65297863178122,173.0025662590153,0.9432445764541626,0.9536704421043396
32,37672.440531984255,33636.51599732687,194.09389617395044,183.40260629916597,0.9441455006599426,0.9479328393936157
33,38616.54316935967,40050.39153161652,196.51092379142608,200.12593917735035,0.9427457451820374,0.9380045533180237
34,39121.65169097566,28773.08281401121,197.79194040955173,169.62630342612317,0.9419968724250793,0.9554610848426819
35,37963.632188732205,31477.454777226954,194.84258309910646,177.41886815450874,0.9437137842178345,0.9512749314308167
36,37669.61311065802,33788.416238809776,194.08661239420408,183.81625673157905,0.9441497325897217,0.9476976990699768
37,37562.55964344758,29040.54749648817,193.81062830362936,170.41287362311618,0.9443084001541138,0.955047070980072
38,37444.747037965375,29615.177297020866,193.50645218691128,172.09060781175964,0.9444831013679504,0.9541575908660889
39,36976.3325765835,29651.978385054335,192.29231023778226,172.19749819626978,0.9451776146888733,0.9541006088256836
40,39430.60749796096,39816.32211421725,198.57141661870915,199.54027692227262,0.9415388107299805,0.9383668899536133
41,37875.229948276756,35879.34111188742,194.6155953367478,189.41842864908213,0.9438448548316956,0.9444611072540283
42,37471.91074217744,31148.75398499782,193.57662757207402,176.49009599690805,0.9444428086280823,0.9517837166786194
43,36278.71666841125,29525.997578532333,190.46972638299044,171.83130558350632,0.9462119340896606,0.9542956352233887
44,37630.84143378777,33886.492212795645,193.9867042706478,184.0828406256152,0.9442071914672852,0.9475458860397339
